id,node_id,step,value
3 4 4 13,n66,0,
"3 + 4 = 7 (left: 4 7 13)
",n67,1,60.0
"4 / 3 = 1.33333 (left: 1.33333 4 13)
",n68,1,2.001
"13 + 3 = 16 (left: 4 4 16)
",n69,1,60.0
"3 * 4 = 12 (left: 4 12 13)
",n70,1,1.002
"4 - 3 = 1 (left: 1 4 13)
",n71,1,1.002
"13 - 4 = 9 (left: 3 4 9)
",n72,1,60.0
"13 / 3 = 4.33333 (left: 4.33333 4 13)
",n73,1,3.0
"13 - 3 = 10 (left: 4 4 10)
",n74,1,60.0
"3 + 4 = 7 (left: 4 7 13)
4 + 7 = 11 (left: 11 13)
",n75,2,40.001
"3 + 4 = 7 (left: 4 7 13)
7 - 4 = 3 (left: 3 13)
",n76,2,1.002
"3 + 4 = 7 (left: 4 7 13)
13 - 4 = 9 (left: 7 9)
",n77,2,1.002
"3 + 4 = 7 (left: 4 7 13)
4 * 7 = 28 (left: 28 13)
",n78,2,0.003
"3 + 4 = 7 (left: 4 7 13)
7 / 4 = 1.75 (left: 1.75 13)
",n79,2,1.001
"3 + 4 = 7 (left: 4 7 13)
13 + 4 = 17 (left: 7 17)
",n80,2,60.0
"3 + 4 = 7 (left: 4 7 13)
13 / 4 = 3.25 (left: 3.25 7)
",n81,2,3.0
"3 + 4 = 7 (left: 4 7 13)
13 - 7 = 6 (left: 4 6)
",n82,2,3.0
"3 + 4 = 7 (left: 4 7 13)
7 - 13 = -6 (left: -6)
",n83,2,0.002
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
",n84,2,60.0
"13 + 3 = 16 (left: 4 4 16)
4 * 4 = 16 (left: 4 16)
",n85,2,3.0
"13 + 3 = 16 (left: 4 4 16)
16 / 4 = 4 (left: 4 4)
",n86,2,3.0
"13 + 3 = 16 (left: 4 4 16)
4 - 4 = 0 (left: 16)
",n87,2,0
"13 - 4 = 9 (left: 3 4 9)
3 + 4 = 7 (left: 7 9)
",n88,2,1.002
"13 - 4 = 9 (left: 3 4 9)
4 / 3 = 1.333 (left: 1.333 9)
",n89,2,2.001
"13 - 4 = 9 (left: 3 4 9)
9 + 3 = 12 (left: 4 9 12)
",n90,2,3.0
"13 - 4 = 9 (left: 3 4 9)
3 * 4 = 12 (left: 9 12)
",n91,2,0.003
"13 - 4 = 9 (left: 3 4 9)
9 - 3 = 6 (left: 6 9)
",n92,2,2.001
"13 - 4 = 9 (left: 3 4 9)
9 / 3 = 3 (left: 3 9)
",n93,2,1.001
"3 + 4 = 7 (left: 4 7 13)
13 + 4 = 17 (left: 7 17)
7 + 17 = 24 (left: 24)
",n94,3,0
"3 + 4 = 7 (left: 4 7 13)
13 + 4 = 17 (left: 7 17)
7 * 17 = 119 (left: 119)
",n95,3,0.0
"3 + 4 = 7 (left: 4 7 13)
13 + 4 = 17 (left: 7 17)
17 - 7 = 10 (left: 10)
",n96,3,0
"3 + 4 = 7 (left: 4 7 13)
13 + 4 = 17 (left: 7 17)
17 / 7 = 2.4285714285714284 (left: 2.4285714285714284)
",n97,3,0.0
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
8 + 16 = 24 (left: 16 24)
",n98,3,0
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
8 / 16 = 0.5 (left: 0.5 16)
",n99,3,22.0
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
16 + 8 = 24 (left: 8 24)
",n100,3,1.002
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
8 * 16 = 128 (left: 16 128)
",n101,3,21.001
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
16 - 8 = 8 (left: 8 8)
",n102,3,3.0
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
16 / 8 = 2 (left: 2 8)
",n103,3,3.0
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
16 - 16 = 0 (left: 8 0)
",n104,3,40.0
"3 + 4 = 7 (left: 4 7 13)
4 + 7 = 11 (left: 11 13)
11 + 13 = 24 (left: 24)
",n105,3,0
"3 + 4 = 7 (left: 4 7 13)
4 + 7 = 11 (left: 11 13)
11 - 13 = -2 (left: -2)
",n106,3,0.001
"3 + 4 = 7 (left: 4 7 13)
4 + 7 = 11 (left: 11 13)
11 * 13 = 143 (left: 143)
",n107,3,0.0
"3 + 4 = 7 (left: 4 7 13)
4 + 7 = 11 (left: 11 13)
11 / 13 ¡Ö 0.846 (left: 0.846)
",n108,3,0.001
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
16 - 16 = 0 (left: 8 0)
8 + 0 = 8 (left: 0 8)
",n109,4,0
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
16 - 16 = 0 (left: 8 0)
8 - 0 = 8 (left: 0 8)
",n110,4,0
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
16 - 16 = 0 (left: 8 0)
8 * 0 = 0 (left: 0 0)
",n111,4,0
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
16 - 16 = 0 (left: 8 0)
8 / 0 is undefined
",n112,4,0
"13 + 3 = 16 (left: 4 4 16)
4 + 4 = 8 (left: 8 16)
8 / 16 = 0.5 (left: 0.5 16)
0.5 + 16 = 16.5 (left: 16.5)
",n113,4,0
