Source,Target,last_formula,operator
null,6 7 8 11,,
6 7 8 11,"6 + 7 = 13 (left: 8 11 13)
",6 + 7 = 13 (left: 8 11 13),+
6 7 8 11,"7 + 8 = 15 (left: 6 11 15)
",7 + 8 = 15 (left: 6 11 15),+
6 7 8 11,"11 - 6 = 5 (left: 5 7 8)
",11 - 6 = 5 (left: 5 7 8),-
6 7 8 11,"6 * 7 = 42 (left: 8 11 42)
",6 * 7 = 42 (left: 8 11 42),*
6 7 8 11,"8 + 7 = 15 (left: 6 11 15)
",8 + 7 = 15 (left: 6 11 15),+
6 7 8 11,"11 - 7 = 4 (left: 4 6 8)
",11 - 7 = 4 (left: 4 6 8),-
6 7 8 11,"6 / 7 = 0.857 (left: 0.857 8 11)
",6 / 7 = 0.857 (left: 0.857 8 11),/
6 7 8 11,"8 - 6 = 2 (left: 2 7 11)
",8 - 6 = 2 (left: 2 7 11),-
"11 - 7 = 4 (left: 4 6 8)
","11 - 7 = 4 (left: 4 6 8)
4 + 6 = 10 (left: 8 10)
",4 + 6 = 10 (left: 8 10),+
"11 - 7 = 4 (left: 4 6 8)
","11 - 7 = 4 (left: 4 6 8)
6 + 4 = 10 (left: 8 10)
",6 + 4 = 10 (left: 8 10),+
"11 - 7 = 4 (left: 4 6 8)
","11 - 7 = 4 (left: 4 6 8)
4 - 6 = -2 (left: -2 8)
",4 - 6 = -2 (left: -2 8),-
"11 - 7 = 4 (left: 4 6 8)
","11 - 7 = 4 (left: 4 6 8)
6 - 4 = 2 (left: 2 8)
",6 - 4 = 2 (left: 2 8),-
"11 - 7 = 4 (left: 4 6 8)
","11 - 7 = 4 (left: 4 6 8)
4 * 6 = 24 (left: 8 24)
",4 * 6 = 24 (left: 8 24),*
"11 - 7 = 4 (left: 4 6 8)
","11 - 7 = 4 (left: 4 6 8)
6 * 4 = 24 (left: 8 24)
",6 * 4 = 24 (left: 8 24),*
"11 - 7 = 4 (left: 4 6 8)
","11 - 7 = 4 (left: 4 6 8)
4 / 6 = 0.6667 (left: 0.6667 8)
",4 / 6 = 0.6667 (left: 0.6667 8),/
"11 - 7 = 4 (left: 4 6 8)
","11 - 7 = 4 (left: 4 6 8)
6 / 4 = 1.5 (left: 1.5 8)
",6 / 4 = 1.5 (left: 1.5 8),/
"7 + 8 = 15 (left: 6 11 15)
","7 + 8 = 15 (left: 6 11 15)
6 + 11 = 17 (left: 15 17)
",6 + 11 = 17 (left: 15 17),+
