Source,Target,last_formula,operator
null,1 4 4 8,,
1 4 4 8,"1 + 4 = 5 (left: 4 5 8)
",1 + 4 = 5 (left: 4 5 8),+
1 4 4 8,"4 / 1 = 4 (left: 4 4 8)
",4 / 1 = 4 (left: 4 4 8),/
1 4 4 8,"8 + 1 = 9 (left: 4 4 9)
",8 + 1 = 9 (left: 4 4 9),+
1 4 4 8,"1 * 4 = 4 (left: 4 4 8)
",1 * 4 = 4 (left: 4 4 8),*
1 4 4 8,"4 - 1 = 3 (left: 3 4 8)
",4 - 1 = 3 (left: 3 4 8),-
1 4 4 8,"8 - 4 = 4 (left: 1 4 4)
",8 - 4 = 4 (left: 1 4 4),-
1 4 4 8,"8 / 2 = 4 (left: 4 4 4)
",8 / 2 = 4 (left: 4 4 4),/
1 4 4 8,"4 - 1 = 3 (left: 1 3 4)
",4 - 1 = 3 (left: 1 3 4),-
"8 - 4 = 4 (left: 1 4 4)
","8 - 4 = 4 (left: 1 4 4)
1 + 4 = 5 (left: 4 5)
",1 + 4 = 5 (left: 4 5),+
"8 - 4 = 4 (left: 1 4 4)
","8 - 4 = 4 (left: 1 4 4)
4 / 1 = 4 (left: 4 4)
",4 / 1 = 4 (left: 4 4),/
"8 - 4 = 4 (left: 1 4 4)
","8 - 4 = 4 (left: 1 4 4)
4 + 1 = 5 (left: 4 5)
",4 + 1 = 5 (left: 4 5),+
"8 - 4 = 4 (left: 1 4 4)
","8 - 4 = 4 (left: 1 4 4)
1 * 4 = 4 (left: 4 4)
",1 * 4 = 4 (left: 4 4),*
"8 - 4 = 4 (left: 1 4 4)
","8 - 4 = 4 (left: 1 4 4)
4 - 1 = 3 (left: 3 4)
",4 - 1 = 3 (left: 3 4),-
"8 - 4 = 4 (left: 1 4 4)
","8 - 4 = 4 (left: 1 4 4)
4 - 4 = 0 (left: 0 4)
",4 - 4 = 0 (left: 0 4),-
"8 - 4 = 4 (left: 1 4 4)
","8 - 4 = 4 (left: 1 4 4)
4 / 4 = 1 (left: 1 4)
",4 / 4 = 1 (left: 1 4),/
"1 + 4 = 5 (left: 4 5 8)
","1 + 4 = 5 (left: 4 5 8)
4 + 5 = 9 (left: 8 9)
",4 + 5 = 9 (left: 8 9),+
"1 + 4 = 5 (left: 4 5 8)
","1 + 4 = 5 (left: 4 5 8)
5 - 4 = 1 (left: 1 8)
",5 - 4 = 1 (left: 1 8),-
"1 + 4 = 5 (left: 4 5 8)
","1 + 4 = 5 (left: 4 5 8)
4 * 5 = 20 (left: 8 20)
",4 * 5 = 20 (left: 8 20),*
"1 + 4 = 5 (left: 4 5 8)
","1 + 4 = 5 (left: 4 5 8)
5 / 4 = 1.25 (left: 1.25 8)
",5 / 4 = 1.25 (left: 1.25 8),/
"1 + 4 = 5 (left: 4 5 8)
","1 + 4 = 5 (left: 4 5 8)
8 + 4 = 12 (left: 5 12)
",8 + 4 = 12 (left: 5 12),+
"1 + 4 = 5 (left: 4 5 8)
","1 + 4 = 5 (left: 4 5 8)
8 - 5 = 3 (left: 3 8)
",8 - 5 = 3 (left: 3 8),-
"1 + 4 = 5 (left: 4 5 8)
","1 + 4 = 5 (left: 4 5 8)
8 * 5 = 40 (left: 40)
",8 * 5 = 40 (left: 40),*
