Source,Target,last_formula,operator
null,3 4 6 11,,
3 4 6 11,"3 + 4 = 7 (left: 6 7 11)
",3 + 4 = 7 (left: 6 7 11),+
3 4 6 11,"4 + 6 = 10 (left: 3 10 11)
",4 + 6 = 10 (left: 3 10 11),+
3 4 6 11,"6 + 3 = 9 (left: 4 9 11)
",6 + 3 = 9 (left: 4 9 11),+
3 4 6 11,"11 - 3 = 8 (left: 4 6 8)
",11 - 3 = 8 (left: 4 6 8),-
3 4 6 11,"3 * 4 = 12 (left: 6 11 12)
",3 * 4 = 12 (left: 6 11 12),*
3 4 6 11,"6 - 4 = 2 (left: 2 6 11)
",6 - 4 = 2 (left: 2 6 11),-
3 4 6 11,"11 - 4 = 7 (left: 3 6 7)
",11 - 4 = 7 (left: 3 6 7),-
3 4 6 11,"11 - 6 = 5 (left: 3 4 5)
",11 - 6 = 5 (left: 3 4 5),-
3 4 6 11,"4 * 6 = 24 (left: 3 11 24)
",4 * 6 = 24 (left: 3 11 24),*
3 4 6 11,"6 / 3 = 2 (left: 2 4 11)
",6 / 3 = 2 (left: 2 4 11),/
"3 + 4 = 7 (left: 6 7 11)
","3 + 4 = 7 (left: 6 7 11)
6 + 7 = 13 (left: 11 13)
",6 + 7 = 13 (left: 11 13),+
"3 + 4 = 7 (left: 6 7 11)
","3 + 4 = 7 (left: 6 7 11)
7 / 6 = 1.1666666666666667 (left: 1.1666666666666667 11)
",7 / 6 = 1.1666666666666667 (left: 1.1666666666666667 11),/
"3 + 4 = 7 (left: 6 7 11)
","3 + 4 = 7 (left: 6 7 11)
11 + 6 = 17 (left: 7 17)
",11 + 6 = 17 (left: 7 17),+
"3 + 4 = 7 (left: 6 7 11)
","3 + 4 = 7 (left: 6 7 11)
6 * 7 = 42 (left: 11 42)
",6 * 7 = 42 (left: 11 42),*
"3 + 4 = 7 (left: 6 7 11)
","3 + 4 = 7 (left: 6 7 11)
7 - 6 = 1 (left: 1 11)
",7 - 6 = 1 (left: 1 11),-
"3 + 4 = 7 (left: 6 7 11)
","3 + 4 = 7 (left: 6 7 11)
11 - 7 = 4 (left: 6 4)
",11 - 7 = 4 (left: 6 4),-
"3 + 4 = 7 (left: 6 7 11)
","3 + 4 = 7 (left: 6 7 11)
11 / 6 = 1.8333333333333333 (left: 1.8333333333333333 11)
",11 / 6 = 1.8333333333333333 (left: 1.8333333333333333 11),/
"4 + 6 = 10 (left: 3 10 11)
","4 + 6 = 10 (left: 3 10 11)
3 + 10 = 13 (left: 11 13)
",3 + 10 = 13 (left: 11 13),+
"4 + 6 = 10 (left: 3 10 11)
","4 + 6 = 10 (left: 3 10 11)
10 - 3 = 7 (left: 7 11)
",10 - 3 = 7 (left: 7 11),-
"4 + 6 = 10 (left: 3 10 11)
","4 + 6 = 10 (left: 3 10 11)
3 * 10 = 30 (left: 11 30)
",3 * 10 = 30 (left: 11 30),*
"4 + 6 = 10 (left: 3 10 11)
","4 + 6 = 10 (left: 3 10 11)
10 / 3 = 3.33 (left: 3.33 11)
",10 / 3 = 3.33 (left: 3.33 11),/
"4 + 6 = 10 (left: 3 10 11)
","4 + 6 = 10 (left: 3 10 11)
11 + 3 = 14 (left: 10 14)
",11 + 3 = 14 (left: 10 14),+
"4 + 6 = 10 (left: 3 10 11)
","4 + 6 = 10 (left: 3 10 11)
11 - 3 = 8 (left: 8 11)
",11 - 3 = 8 (left: 8 11),-
"4 + 6 = 10 (left: 3 10 11)
","4 + 6 = 10 (left: 3 10 11)
3 + 11 = 14 (left: 10 14)
",3 + 11 = 14 (left: 10 14),+
"4 + 6 = 10 (left: 3 10 11)
","4 + 6 = 10 (left: 3 10 11)
11 / 3 = 3.67 (left: 3.67 10)
",11 / 3 = 3.67 (left: 3.67 10),/
"4 + 6 = 10 (left: 3 10 11)
","4 + 6 = 10 (left: 3 10 11)
10 - 11 = -1 (left: -1 10)
",10 - 11 = -1 (left: -1 10),-
"4 + 6 = 10 (left: 3 10 11)
","4 + 6 = 10 (left: 3 10 11)
11 * 3 = 33 (left: 10 33)
",11 * 3 = 33 (left: 10 33),*
"6 + 3 = 9 (left: 4 9 11)
","6 + 3 = 9 (left: 4 9 11)
4 + 9 = 13 (left: 11 13)
",4 + 9 = 13 (left: 11 13),+
"6 + 3 = 9 (left: 4 9 11)
","6 + 3 = 9 (left: 4 9 11)
9 - 4 = 5 (left: 5 11)
",9 - 4 = 5 (left: 5 11),-
"6 + 3 = 9 (left: 4 9 11)
","6 + 3 = 9 (left: 4 9 11)
4 * 9 = 36 (left: 11 36)
",4 * 9 = 36 (left: 11 36),*
"6 + 3 = 9 (left: 4 9 11)
","6 + 3 = 9 (left: 4 9 11)
9 / 4 = 2.25 (left: 2.25 11)
",9 / 4 = 2.25 (left: 2.25 11),/
"6 + 3 = 9 (left: 4 9 11)
","6 + 3 = 9 (left: 4 9 11)
11 + 4 = 15 (left: 9 15)
",11 + 4 = 15 (left: 9 15),+
"6 + 3 = 9 (left: 4 9 11)
","6 + 3 = 9 (left: 4 9 11)
11 - 9 = 2 (left: 2 11)
",11 - 9 = 2 (left: 2 11),-
"6 + 3 = 9 (left: 4 9 11)
","6 + 3 = 9 (left: 4 9 11)
11 / 4 = 2.75 (left: 2.75 11)
",11 / 4 = 2.75 (left: 2.75 11),/
"6 + 3 = 9 (left: 4 9 11)
","6 + 3 = 9 (left: 4 9 11)
11 - 4 = 7 (left: 7 11)
",11 - 4 = 7 (left: 7 11),-
"3 + 4 = 7 (left: 6 7 11)
11 + 6 = 17 (left: 7 17)
","3 + 4 = 7 (left: 6 7 11)
11 + 6 = 17 (left: 7 17)
7 + 17 = 24 (left: 24)
",7 + 17 = 24 (left: 24),+
"3 + 4 = 7 (left: 6 7 11)
11 + 6 = 17 (left: 7 17)
","3 + 4 = 7 (left: 6 7 11)
11 + 6 = 17 (left: 7 17)
7 * 17 = 119 (left: 119)
",7 * 17 = 119 (left: 119),*
"3 + 4 = 7 (left: 6 7 11)
11 + 6 = 17 (left: 7 17)
","3 + 4 = 7 (left: 6 7 11)
11 + 6 = 17 (left: 7 17)
17 - 7 = 10 (left: 10)
",17 - 7 = 10 (left: 10),-
"4 + 6 = 10 (left: 3 10 11)
11 + 3 = 14 (left: 10 14)
","4 + 6 = 10 (left: 3 10 11)
11 + 3 = 14 (left: 10 14)
10 + 14 = 24 (left: 14 24)
",10 + 14 = 24 (left: 14 24),+
"4 + 6 = 10 (left: 3 10 11)
11 + 3 = 14 (left: 10 14)
","4 + 6 = 10 (left: 3 10 11)
11 + 3 = 14 (left: 10 14)
10 / 14 = 0.71 (left: 0.71 14)
",10 / 14 = 0.71 (left: 0.71 14),/
