Source,Target,last_formula,operator
null,1 8 10 11,,
1 8 10 11,"1 + 8 = 9 (left: 9 10 11)
",1 + 8 = 9 (left: 9 10 11),+
1 8 10 11,"8 + 1 = 9 (left: 9 10 11)
",8 + 1 = 9 (left: 9 10 11),+
1 8 10 11,"10 - 1 = 9 (left: 8 9 11)
",10 - 1 = 9 (left: 8 9 11),-
1 8 10 11,"11 - 1 = 10 (left: 8 10 10)
",11 - 1 = 10 (left: 8 10 10),-
1 8 10 11,"1 * 8 = 8 (left: 8 10 11)
",1 * 8 = 8 (left: 8 10 11),*
1 8 10 11,"8 - 1 = 7 (left: 7 10 11)
",8 - 1 = 7 (left: 7 10 11),-
1 8 10 11,"10 - 8 = 2 (left: 1 2 11)
",10 - 8 = 2 (left: 1 2 11),-
1 8 10 11,"10 / 1 = 10 (left: 8 10 11)
",10 / 1 = 10 (left: 8 10 11),/
1 8 10 11,"11 - 8 = 3 (left: 1 3 11)
",11 - 8 = 3 (left: 1 3 11),-
"10 - 1 = 9 (left: 8 9 11)
","10 - 1 = 9 (left: 8 9 11)
8 + 9 = 17 (left: 11 17)
",8 + 9 = 17 (left: 11 17),+
"10 - 1 = 9 (left: 8 9 11)
","10 - 1 = 9 (left: 8 9 11)
9 + 11 = 20 (left: 8 20)
",9 + 11 = 20 (left: 8 20),+
"10 - 1 = 9 (left: 8 9 11)
","10 - 1 = 9 (left: 8 9 11)
8 - 9 = -1 (left: 11 -1)
",8 - 9 = -1 (left: 11 -1),-
"10 - 1 = 9 (left: 8 9 11)
","10 - 1 = 9 (left: 8 9 11)
9 - 11 = -2 (left: 8 -2)
",9 - 11 = -2 (left: 8 -2),-
"10 - 1 = 9 (left: 8 9 11)
","10 - 1 = 9 (left: 8 9 11)
11 - 8 = 3 (left: 9 3)
",11 - 8 = 3 (left: 9 3),-
"10 - 1 = 9 (left: 8 9 11)
","10 - 1 = 9 (left: 8 9 11)
8 * 9 = 72 (left: 11 72)
",8 * 9 = 72 (left: 11 72),*
"10 - 1 = 9 (left: 8 9 11)
","10 - 1 = 9 (left: 8 9 11)
9 * 11 = 99 (left: 8 99)
",9 * 11 = 99 (left: 8 99),*
"10 - 1 = 9 (left: 8 9 11)
","10 - 1 = 9 (left: 8 9 11)
8 / 9 = 0.8888888888888888 (left: 11 0.8888888888888888)
",8 / 9 = 0.8888888888888888 (left: 11 0.8888888888888888),/
"10 - 1 = 9 (left: 8 9 11)
","10 - 1 = 9 (left: 8 9 11)
9 / 11 = 0.8181818181818182 (left: 8 0.8181818181818182)
",9 / 11 = 0.8181818181818182 (left: 8 0.8181818181818182),/
"11 - 1 = 10 (left: 8 10 10)
","11 - 1 = 10 (left: 8 10 10)
8 + 10 = 18 (left: 10 18)
",8 + 10 = 18 (left: 10 18),+
"11 - 1 = 10 (left: 8 10 10)
","11 - 1 = 10 (left: 8 10 10)
10 - 8 = 2 (left: 2 10)
",10 - 8 = 2 (left: 2 10),-
"11 - 1 = 10 (left: 8 10 10)
","11 - 1 = 10 (left: 8 10 10)
10 / 8 = 1.25 (left: 1.25 10)
",10 / 8 = 1.25 (left: 1.25 10),/
"11 - 1 = 10 (left: 8 10 10)
","11 - 1 = 10 (left: 8 10 10)
10 * 8 = 80 (left: 10 80)
",10 * 8 = 80 (left: 10 80),*
"1 * 8 = 8 (left: 8 10 11)
","1 * 8 = 8 (left: 8 10 11)
8 + 10 = 18 (left: 11 18)
",8 + 10 = 18 (left: 11 18),+
"1 * 8 = 8 (left: 8 10 11)
","1 * 8 = 8 (left: 8 10 11)
10 + 11 = 21 (left: 8 21)
",10 + 11 = 21 (left: 8 21),+
"1 * 8 = 8 (left: 8 10 11)
","1 * 8 = 8 (left: 8 10 11)
8 * 10 = 80 (left: 11 80)
",8 * 10 = 80 (left: 11 80),*
"1 * 8 = 8 (left: 8 10 11)
","1 * 8 = 8 (left: 8 10 11)
10 - 8 = 2 (left: 2 11)
",10 - 8 = 2 (left: 2 11),-
"1 * 8 = 8 (left: 8 10 11)
","1 * 8 = 8 (left: 8 10 11)
11 + 8 = 19 (left: 10 19)
",11 + 8 = 19 (left: 10 19),+
"1 * 8 = 8 (left: 8 10 11)
","1 * 8 = 8 (left: 8 10 11)
8 / 10 = 0.8 (left: 11 0.8)
",8 / 10 = 0.8 (left: 11 0.8),/
"1 * 8 = 8 (left: 8 10 11)
","1 * 8 = 8 (left: 8 10 11)
10 / 8 = 1.25 (left: 11 1.25)
",10 / 8 = 1.25 (left: 11 1.25),/
"1 * 8 = 8 (left: 8 10 11)
","1 * 8 = 8 (left: 8 10 11)
11 - 8 = 3 (left: 3 10)
",11 - 8 = 3 (left: 3 10),-
"1 * 8 = 8 (left: 8 10 11)
","1 * 8 = 8 (left: 8 10 11)
11 / 8 = 1.375 (left: 10 1.375)
",11 / 8 = 1.375 (left: 10 1.375),/
"10 - 1 = 9 (left: 8 9 11)
11 - 8 = 3 (left: 9 3)
","10 - 1 = 9 (left: 8 9 11)
11 - 8 = 3 (left: 9 3)
9 + 3 = 12 (left: 12)
",9 + 3 = 12 (left: 12),+
"10 - 1 = 9 (left: 8 9 11)
11 - 8 = 3 (left: 9 3)
","10 - 1 = 9 (left: 8 9 11)
11 - 8 = 3 (left: 9 3)
9 - 3 = 6 (left: 6)
",9 - 3 = 6 (left: 6),-
"10 - 1 = 9 (left: 8 9 11)
11 - 8 = 3 (left: 9 3)
","10 - 1 = 9 (left: 8 9 11)
11 - 8 = 3 (left: 9 3)
9 * 3 = 27 (left: 27)
",9 * 3 = 27 (left: 27),*
"10 - 1 = 9 (left: 8 9 11)
11 - 8 = 3 (left: 9 3)
","10 - 1 = 9 (left: 8 9 11)
11 - 8 = 3 (left: 9 3)
9 / 3 = 3 (left: 3)
",9 / 3 = 3 (left: 3),/
