id,node_id,step,value
1 4 5 13,n1078,0,
"1 + 4 = 5 (left: 5 5 13)
",n1079,1,2.001
"1 * 4 = 4 (left: 4 5 13)
",n1080,1,0.003
"5 + 1 = 6 (left: 4 6 13)
",n1081,1,1.002
"5 * 1 = 5 (left: 5 13 5)
",n1082,1,2.001
"4 + 1 = 5 (left: 5 5 13)
",n1083,1,2.001
"4 * 1 = 4 (left: 4 5 13)
",n1084,1,0.003
"13 - 5 = 8 (left: 1 4 8)
",n1085,1,1.002
"13 - 4 = 9 (left: 1 5 9)
",n1086,1,2.001
"13 / 4 = 3.25 (left: 1 3.25 5)
",n1087,1,1.002
"1 + 4 = 5 (left: 5 5 13)
5 + 5 = 10 (left: 10 13)
",n1088,2,2.001
"1 + 4 = 5 (left: 5 5 13)
5 / 5 = 1 (left: 1 13)
",n1089,2,1.0
"1 + 4 = 5 (left: 5 5 13)
13 + 5 = 18 (left: 5 18)
",n1090,2,0.003
"1 + 4 = 5 (left: 5 5 13)
5 * 5 = 25 (left: 13 25)
",n1091,2,0.003
"1 + 4 = 5 (left: 5 5 13)
5 - 5 = 0 (left: 0 13)
",n1092,2,1.002
"1 + 4 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
",n1093,2,3.0
"1 + 4 = 5 (left: 5 5 13)
13 / 5 = 2.6 (left: 2.6)
",n1094,2,0.002
"5 * 1 = 5 (left: 5 13 5)
5 + 13 = 18 (left: 5 18 5)
",n1095,2,1.002
"5 * 1 = 5 (left: 5 13 5)
13 - 5 = 8 (left: 8 5)
",n1096,2,0
"5 * 1 = 5 (left: 5 13 5)
5 / 13 = 0.3846 (left: 5 0.3846)
",n1097,2,2.0
"5 * 1 = 5 (left: 5 13 5)
5 - 13 = -8 (left: -8 5)
",n1098,2,0.003
"5 * 1 = 5 (left: 5 13 5)
13 + 5 = 18 (left: 18 5)
",n1099,2,0.002
"5 * 1 = 5 (left: 5 13 5)
5 * 13 = 65 (left: 65 5)
",n1100,2,41.0
"5 * 1 = 5 (left: 5 13 5)
13 / 5 = 2.6 (left: 2.6 5)
",n1101,2,2.001
"4 + 1 = 5 (left: 5 5 13)
5 + 5 = 10 (left: 10 13)
",n1102,2,2.001
"4 + 1 = 5 (left: 5 5 13)
5 * 5 = 25 (left: 13 25)
",n1103,2,0.003
"4 + 1 = 5 (left: 5 5 13)
5 - 5 = 0 (left: 0 13)
",n1104,2,1.002
"4 + 1 = 5 (left: 5 5 13)
13 + 5 = 18 (left: 5 18)
",n1105,2,0.003
"4 + 1 = 5 (left: 5 5 13)
5 / 5 = 1 (left: 1 13)
",n1106,2,1.0
"4 + 1 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
",n1107,2,3.0
"5 * 1 = 5 (left: 5 13 5)
5 * 13 = 65 (left: 65 5)
65 + 5 = 70 (left: 70)
",n1108,3,0.0
"5 * 1 = 5 (left: 5 13 5)
5 * 13 = 65 (left: 65 5)
65 - 5 = 60 (left: 60)
",n1109,3,0.0
"5 * 1 = 5 (left: 5 13 5)
5 * 13 = 65 (left: 65 5)
65 * 5 = 325 (left: 325)
",n1110,3,0.001
"5 * 1 = 5 (left: 5 13 5)
5 * 13 = 65 (left: 65 5)
65 / 5 = 13 (left: 13)
",n1111,3,0.0
"1 + 4 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
5 + 8 = 13 (left: 8 13)
",n1112,3,2.001
"1 + 4 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
5 * 8 = 40 (left: 8 40)
",n1113,3,0.002
"1 + 4 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
8 - 5 = 3 (left: 3 8)
",n1114,3,3.0
"1 + 4 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
8 / 5 = 1.6 (left: 1.6 8)
",n1115,3,1.002
"4 + 1 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
5 + 8 = 13 (left: 8 13)
",n1116,3,2.001
"4 + 1 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
5 * 8 = 40 (left: 8 40)
",n1117,3,0.002
"4 + 1 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
8 - 5 = 3 (left: 3 8)
",n1118,3,3.0
"1 + 4 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
8 - 5 = 3 (left: 3 8)
3 + 8 = 11 (left: 8 11)
",n1119,4,1.002
"1 + 4 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
8 - 5 = 3 (left: 3 8)
8 / 3 = 2.6667 (left: 2.6667 8)
",n1120,4,0
