Source,Target,last_formula,operator
null,1 4 5 13,,
1 4 5 13,"1 + 4 = 5 (left: 5 5 13)
",1 + 4 = 5 (left: 5 5 13),+
1 4 5 13,"1 * 4 = 4 (left: 4 5 13)
",1 * 4 = 4 (left: 4 5 13),*
1 4 5 13,"5 + 1 = 6 (left: 4 6 13)
",5 + 1 = 6 (left: 4 6 13),+
1 4 5 13,"5 * 1 = 5 (left: 5 13 5)
",5 * 1 = 5 (left: 5 13 5),*
1 4 5 13,"4 + 1 = 5 (left: 5 5 13)
",4 + 1 = 5 (left: 5 5 13),+
1 4 5 13,"4 * 1 = 4 (left: 4 5 13)
",4 * 1 = 4 (left: 4 5 13),*
1 4 5 13,"13 - 5 = 8 (left: 1 4 8)
",13 - 5 = 8 (left: 1 4 8),-
1 4 5 13,"13 - 4 = 9 (left: 1 5 9)
",13 - 4 = 9 (left: 1 5 9),-
1 4 5 13,"13 / 4 = 3.25 (left: 1 3.25 5)
",13 / 4 = 3.25 (left: 1 3.25 5),/
"1 + 4 = 5 (left: 5 5 13)
","1 + 4 = 5 (left: 5 5 13)
5 + 5 = 10 (left: 10 13)
",5 + 5 = 10 (left: 10 13),+
"1 + 4 = 5 (left: 5 5 13)
","1 + 4 = 5 (left: 5 5 13)
5 / 5 = 1 (left: 1 13)
",5 / 5 = 1 (left: 1 13),/
"1 + 4 = 5 (left: 5 5 13)
","1 + 4 = 5 (left: 5 5 13)
13 + 5 = 18 (left: 5 18)
",13 + 5 = 18 (left: 5 18),+
"1 + 4 = 5 (left: 5 5 13)
","1 + 4 = 5 (left: 5 5 13)
5 * 5 = 25 (left: 13 25)
",5 * 5 = 25 (left: 13 25),*
"1 + 4 = 5 (left: 5 5 13)
","1 + 4 = 5 (left: 5 5 13)
5 - 5 = 0 (left: 0 13)
",5 - 5 = 0 (left: 0 13),-
"1 + 4 = 5 (left: 5 5 13)
","1 + 4 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
",13 - 5 = 8 (left: 5 8),-
"1 + 4 = 5 (left: 5 5 13)
","1 + 4 = 5 (left: 5 5 13)
13 / 5 = 2.6 (left: 2.6)
",13 / 5 = 2.6 (left: 2.6),/
"5 * 1 = 5 (left: 5 13 5)
","5 * 1 = 5 (left: 5 13 5)
5 + 13 = 18 (left: 5 18 5)
",5 + 13 = 18 (left: 5 18 5),+
"5 * 1 = 5 (left: 5 13 5)
","5 * 1 = 5 (left: 5 13 5)
13 - 5 = 8 (left: 8 5)
",13 - 5 = 8 (left: 8 5),-
"5 * 1 = 5 (left: 5 13 5)
","5 * 1 = 5 (left: 5 13 5)
5 / 13 = 0.3846 (left: 5 0.3846)
",5 / 13 = 0.3846 (left: 5 0.3846),/
"5 * 1 = 5 (left: 5 13 5)
","5 * 1 = 5 (left: 5 13 5)
5 - 13 = -8 (left: -8 5)
",5 - 13 = -8 (left: -8 5),-
"5 * 1 = 5 (left: 5 13 5)
","5 * 1 = 5 (left: 5 13 5)
13 + 5 = 18 (left: 18 5)
",13 + 5 = 18 (left: 18 5),+
"5 * 1 = 5 (left: 5 13 5)
","5 * 1 = 5 (left: 5 13 5)
5 * 13 = 65 (left: 65 5)
",5 * 13 = 65 (left: 65 5),*
"5 * 1 = 5 (left: 5 13 5)
","5 * 1 = 5 (left: 5 13 5)
13 / 5 = 2.6 (left: 2.6 5)
",13 / 5 = 2.6 (left: 2.6 5),/
"4 + 1 = 5 (left: 5 5 13)
","4 + 1 = 5 (left: 5 5 13)
5 + 5 = 10 (left: 10 13)
",5 + 5 = 10 (left: 10 13),+
"4 + 1 = 5 (left: 5 5 13)
","4 + 1 = 5 (left: 5 5 13)
5 * 5 = 25 (left: 13 25)
",5 * 5 = 25 (left: 13 25),*
"4 + 1 = 5 (left: 5 5 13)
","4 + 1 = 5 (left: 5 5 13)
5 - 5 = 0 (left: 0 13)
",5 - 5 = 0 (left: 0 13),-
"4 + 1 = 5 (left: 5 5 13)
","4 + 1 = 5 (left: 5 5 13)
13 + 5 = 18 (left: 5 18)
",13 + 5 = 18 (left: 5 18),+
"4 + 1 = 5 (left: 5 5 13)
","4 + 1 = 5 (left: 5 5 13)
5 / 5 = 1 (left: 1 13)
",5 / 5 = 1 (left: 1 13),/
"4 + 1 = 5 (left: 5 5 13)
","4 + 1 = 5 (left: 5 5 13)
13 - 5 = 8 (left: 5 8)
",13 - 5 = 8 (left: 5 8),-
"5 * 1 = 5 (left: 5 13 5)
5 * 13 = 65 (left: 65 5)
","5 * 1 = 5 (left: 5 13 5)
5 * 13 = 65 (left: 65 5)
65 + 5 = 70 (left: 70)
",65 + 5 = 70 (left: 70),+
"5 * 1 = 5 (left: 5 13 5)
5 * 13 = 65 (left: 65 5)
","5 * 1 = 5 (left: 5 13 5)
5 * 13 = 65 (left: 65 5)
65 - 5 = 60 (left: 60)
",65 - 5 = 60 (left: 60),-
"5 * 1 = 5 (left: 5 13 5)
5 * 13 = 65 (left: 65 5)
","5 * 1 = 5 (left: 5 13 5)
5 * 13 = 65 (left: 65 5)
65 * 5 = 325 (left: 325)
",65 * 5 = 325 (left: 325),*
