id,node_id,step,value
4 5 6 10,n0,0,
"4 + 5 = 9 (left: 6 9 10)
",n1,1,40.001
"5 + 6 = 11 (left: 4 10 11)
",n2,1,0.003
"6 + 10 = 16 (left: 4 5 16)
",n3,1,0.003
"4 * 5 = 20 (left: 6 10 20)
",n4,1,0.003
"10 - 4 = 6 (left: 5 6 10)
",n5,1,2.001
"10 - 5 = 5 (left: 4 5 6)
",n6,1,3.0
"6 + 4 = 10 (left: 5 6 10)
",n7,1,2.001
"6 / 4 = 1.5 (left: 1.5 5 6)
",n8,1,3.0
"4 + 5 = 9 (left: 6 9 10)
6 + 9 = 15 (left: 10 15)
",n9,2,0.003
"4 + 5 = 9 (left: 6 9 10)
6 / 9 = 0.67 (left: 0.67 10)
",n10,2,1.0
"4 + 5 = 9 (left: 6 9 10)
10 + 6 = 16 (left: 9 16)
",n11,2,0.003
"4 + 5 = 9 (left: 6 9 10)
6 * 9 = 54 (left: 10 54)
",n12,2,0.002
"4 + 5 = 9 (left: 6 9 10)
9 - 6 = 3 (left: 3 10)
",n13,2,3.0
"4 + 5 = 9 (left: 6 9 10)
10 - 9 = 1 (left: 6 1)
",n14,2,1.001
"4 + 5 = 9 (left: 6 9 10)
10 / 6 = 1.67 (left: 1.67 6)
",n15,2,0.003
"4 + 5 = 9 (left: 6 9 10)
10 - 6 = 4 (left: 4 9)
",n16,2,2.001
"10 - 5 = 5 (left: 4 5 6)
4 + 5 = 9 (left: 6 9)
",n17,2,3.0
"10 - 5 = 5 (left: 4 5 6)
5 + 6 = 11 (left: 4 11)
",n18,2,3.0
"10 - 5 = 5 (left: 4 5 6)
4 * 5 = 20 (left: 6 20)
",n19,2,0.003
"10 - 5 = 5 (left: 4 5 6)
5 * 6 = 30 (left: 4 30)
",n20,2,0.003
"10 - 5 = 5 (left: 4 5 6)
6 + 4 = 10 (left: 5 10)
",n21,2,1.002
"10 - 5 = 5 (left: 4 5 6)
4 / 5 = 0.8 (left: 6 0.8)
",n22,2,2.0
"10 - 5 = 5 (left: 4 5 6)
5 / 6 = 0.83 (left: 4 0.83)
",n23,2,2.001
"6 / 4 = 1.5 (left: 1.5 5 6)
1.5 + 5 = 6.5 (left: 6.5 6)
",n24,2,3.0
"6 / 4 = 1.5 (left: 1.5 5 6)
5 + 1.5 = 6.5 (left: 6.5 6)
",n25,2,3.0
"6 / 4 = 1.5 (left: 1.5 5 6)
1.5 * 5 = 7.5 (left: 7.5 6)
",n26,2,3.0
"6 / 4 = 1.5 (left: 1.5 5 6)
5 * 1.5 = 7.5 (left: 7.5 6)
",n27,2,3.0
"6 / 4 = 1.5 (left: 1.5 5 6)
6 + 1.5 = 7.5 (left: 7.5 6)
",n28,2,3.0
"6 / 4 = 1.5 (left: 1.5 5 6)
1.5 / 5 = 0.3 (left: 0.3 6)
",n29,2,2.0
"6 / 4 = 1.5 (left: 1.5 5 6)
5 - 1.5 = 3.5 (left: 3.5 6)
",n30,2,2.001
"6 / 4 = 1.5 (left: 1.5 5 6)
1.5 - 5 = -3.5 (left: -3.5 6)
",n31,2,2.0
"6 / 4 = 1.5 (left: 1.5 5 6)
6 - 1.5 = 4.5 (left: 4.5 6)
",n32,2,3.0
"6 / 4 = 1.5 (left: 1.5 5 6)
5 / 1.5 = 3.33 (left: 3.33 6)
",n33,2,2.001
"4 + 5 = 9 (left: 6 9 10)
9 - 6 = 3 (left: 3 10)
3 + 10 = 13 (left: 10 13)
",n34,3,2.001
