id,node_id,step,value
2 2 7 12,n1130,0,
"2 + 2 = 4 (left: 4 7 12)
",n1131,1,2.001
"2 / 2 = 1 (left: 1 7 12)
",n1132,1,1.002
"7 + 2 = 9 (left: 2 9 12)
",n1133,1,1.002
"2 * 2 = 4 (left: 4 7 12)
",n1134,1,2.001
"7 - 2 = 5 (left: 2 5 12)
",n1135,1,0.003
"12 - 2 = 10 (left: 2 7 10)
",n1136,1,2.001
"12 / 2 = 6 (left: 2 6 7)
",n1137,1,0.003
"12 - 7 = 5 (left: 2 5 7)
",n1138,1,3.0
"12 - 7 = 5 (left: 2 5 7)
2 + 5 = 7 (left: 7 7)
",n1139,2,3.0
"12 - 7 = 5 (left: 2 5 7)
5 + 7 = 12 (left: 2 12)
",n1140,2,3.0
"12 - 7 = 5 (left: 2 5 7)
5 * 7 = 35 (left: 2 35)
",n1141,2,3.0
"12 - 7 = 5 (left: 2 5 7)
7 - 5 = 2 (left: 2 2)
",n1142,2,41.0
"12 - 7 = 5 (left: 2 5 7)
7 / 2 = 3.5 (left: 5 3.5)
",n1143,2,3.0
"12 - 7 = 5 (left: 2 5 7)
2 * 5 = 10 (left: 7 10)
",n1144,2,2.001
"12 - 7 = 5 (left: 2 5 7)
5 - 2 = 3 (left: 3 7)
",n1145,2,0.003
"12 - 7 = 5 (left: 2 5 7)
7 - 2 = 5 (left: 5 5)
",n1146,2,2.001
"12 - 7 = 5 (left: 2 5 7)
7 / 5 = 1.4 (left: 2 1.4)
",n1147,2,3.0
"2 + 2 = 4 (left: 4 7 12)
4 + 7 = 11 (left: 11 12)
",n1148,2,0.003
"2 + 2 = 4 (left: 4 7 12)
7 + 4 = 11 (left: 11 12)
",n1149,2,0.003
"2 + 2 = 4 (left: 4 7 12)
4 * 7 = 28 (left: 28 12)
",n1150,2,0.003
"2 + 2 = 4 (left: 4 7 12)
7 * 4 = 28 (left: 28 12)
",n1151,2,0.003
"2 + 2 = 4 (left: 4 7 12)
7 - 4 = 3 (left: 3 12)
",n1152,2,1.002
"2 + 2 = 4 (left: 4 7 12)
4 - 7 = -3 (left: -3 12)
",n1153,2,22.0
"2 + 2 = 4 (left: 4 7 12)
7 / 4 = 1.75 (left: 1.75 12)
",n1154,2,2.001
"2 + 2 = 4 (left: 4 7 12)
4 / 7 = 0.57 (left: 0.57 12)
",n1155,2,1.0
"2 + 2 = 4 (left: 4 7 12)
12 + 4 = 16 (left: 7 16)
",n1156,2,0.002
"2 + 2 = 4 (left: 4 7 12)
12 - 4 = 8 (left: 8 12)
",n1157,2,2.001
"2 + 2 = 4 (left: 4 7 12)
12 / 4 = 3 (left: 3 12)
",n1158,2,1.002
"2 * 2 = 4 (left: 4 7 12)
4 + 7 = 11 (left: 11 12)
",n1159,2,0.003
"2 * 2 = 4 (left: 4 7 12)
7 - 4 = 3 (left: 3 12)
",n1160,2,1.002
"2 * 2 = 4 (left: 4 7 12)
4 * 7 = 28 (left: 28 12)
",n1161,2,0.003
"2 * 2 = 4 (left: 4 7 12)
7 / 4 = 1.75 (left: 1.75 12)
",n1162,2,2.001
"2 * 2 = 4 (left: 4 7 12)
12 + 4 = 16 (left: 7 16)
",n1163,2,0.002
"2 * 2 = 4 (left: 4 7 12)
4 - 7 = -3 (left: -3 12)
",n1164,2,22.0
"2 * 2 = 4 (left: 4 7 12)
7 * 4 = 28 (left: 28 12)
",n1165,2,0.003
"2 * 2 = 4 (left: 4 7 12)
12 - 4 = 8 (left: 8 12)
",n1166,2,2.001
"2 * 2 = 4 (left: 4 7 12)
4 / 7 = 0.571 (left: 0.571 12)
",n1167,2,2.001
"2 * 2 = 4 (left: 4 7 12)
12 + 7 = 19 (left: 4 19)
",n1168,2,0.003
"2 * 2 = 4 (left: 4 7 12)
7 - 12 = -5 (left: -5 12)
",n1169,2,3.0
"2 * 2 = 4 (left: 4 7 12)
12 * 4 = 48 (left: 48 12)
",n1170,2,20.001
"2 * 2 = 4 (left: 4 7 12)
12 / 4 = 3 (left: 3 12)
",n1171,2,1.002
"2 * 2 = 4 (left: 4 7 12)
7 + 4 = 11 (left: 11 12)
",n1172,2,0.003
"2 * 2 = 4 (left: 4 7 12)
4 - 12 = -8 (left: -8 12)
",n1173,2,22.0
"2 * 2 = 4 (left: 4 7 12)
12 * 7 = 84 (left: 84 12)
",n1174,2,0.003
"2 * 2 = 4 (left: 4 7 12)
12 / 7 = 1.71 (left: 1.71 12)
",n1175,2,1.002
"12 - 7 = 5 (left: 2 5 7)
7 - 5 = 2 (left: 2 2)
2 + 2 = 4 (left: 2 4)
",n1176,3,3.0
"12 - 7 = 5 (left: 2 5 7)
7 - 5 = 2 (left: 2 2)
2 / 2 = 1 (left: 1 2)
",n1177,3,2.001
"12 - 7 = 5 (left: 2 5 7)
7 - 5 = 2 (left: 2 2)
2 * 2 = 4 (left: 2 4)
",n1178,3,3.0
"12 - 7 = 5 (left: 2 5 7)
7 - 5 = 2 (left: 2 2)
2 - 2 = 0 (left: 0 2)
",n1179,3,2.001
"2 + 2 = 4 (left: 4 7 12)
4 - 7 = -3 (left: -3 12)
-3 + 12 = 9 (left: 9)
",n1180,3,0.0
"2 + 2 = 4 (left: 4 7 12)
4 - 7 = -3 (left: -3 12)
12 - (-3) = 15 (left: 15)
",n1181,3,0.0
"2 + 2 = 4 (left: 4 7 12)
4 - 7 = -3 (left: -3 12)
-3 * 12 = -36 (left: -36)
",n1182,3,0.0
"2 + 2 = 4 (left: 4 7 12)
4 - 7 = -3 (left: -3 12)
12 / (-3) = -4 (left: -4)
",n1183,3,0.001
"2 * 2 = 4 (left: 4 7 12)
4 - 7 = -3 (left: -3 12)
-3 + 12 = 9 (left: 9)
",n1184,3,0.0
"2 * 2 = 4 (left: 4 7 12)
4 - 7 = -3 (left: -3 12)
-3 - 12 = -15 (left: -15)
",n1185,3,0.0
"2 * 2 = 4 (left: 4 7 12)
4 - 7 = -3 (left: -3 12)
-3 * 12 = -36 (left: -36)
",n1186,3,0.0
"2 * 2 = 4 (left: 4 7 12)
4 - 7 = -3 (left: -3 12)
-3 / 12 = -0.25 (left: -0.25)
",n1187,3,0.0
"12 - 7 = 5 (left: 2 5 7)
7 - 5 = 2 (left: 2 2)
2 + 2 = 4 (left: 2 4)
2 + 4 = 6 (left: 6)
",n1188,4,0
