Source,Target,last_formula,operator
null,2 2 7 12,,
2 2 7 12,"2 + 2 = 4 (left: 4 7 12)
",2 + 2 = 4 (left: 4 7 12),+
2 2 7 12,"2 / 2 = 1 (left: 1 7 12)
",2 / 2 = 1 (left: 1 7 12),/
2 2 7 12,"7 + 2 = 9 (left: 2 9 12)
",7 + 2 = 9 (left: 2 9 12),+
2 2 7 12,"2 * 2 = 4 (left: 4 7 12)
",2 * 2 = 4 (left: 4 7 12),*
2 2 7 12,"7 - 2 = 5 (left: 2 5 12)
",7 - 2 = 5 (left: 2 5 12),-
2 2 7 12,"12 - 2 = 10 (left: 2 7 10)
",12 - 2 = 10 (left: 2 7 10),-
2 2 7 12,"12 / 2 = 6 (left: 2 6 7)
",12 / 2 = 6 (left: 2 6 7),/
2 2 7 12,"12 - 7 = 5 (left: 2 5 7)
",12 - 7 = 5 (left: 2 5 7),-
"12 - 7 = 5 (left: 2 5 7)
","12 - 7 = 5 (left: 2 5 7)
2 + 5 = 7 (left: 7 7)
",2 + 5 = 7 (left: 7 7),+
"12 - 7 = 5 (left: 2 5 7)
","12 - 7 = 5 (left: 2 5 7)
5 + 7 = 12 (left: 2 12)
",5 + 7 = 12 (left: 2 12),+
"12 - 7 = 5 (left: 2 5 7)
","12 - 7 = 5 (left: 2 5 7)
5 * 7 = 35 (left: 2 35)
",5 * 7 = 35 (left: 2 35),*
"12 - 7 = 5 (left: 2 5 7)
","12 - 7 = 5 (left: 2 5 7)
7 - 5 = 2 (left: 2 2)
",7 - 5 = 2 (left: 2 2),-
"12 - 7 = 5 (left: 2 5 7)
","12 - 7 = 5 (left: 2 5 7)
7 / 2 = 3.5 (left: 5 3.5)
",7 / 2 = 3.5 (left: 5 3.5),/
"12 - 7 = 5 (left: 2 5 7)
","12 - 7 = 5 (left: 2 5 7)
2 * 5 = 10 (left: 7 10)
",2 * 5 = 10 (left: 7 10),*
"12 - 7 = 5 (left: 2 5 7)
","12 - 7 = 5 (left: 2 5 7)
5 - 2 = 3 (left: 3 7)
",5 - 2 = 3 (left: 3 7),-
"12 - 7 = 5 (left: 2 5 7)
","12 - 7 = 5 (left: 2 5 7)
7 - 2 = 5 (left: 5 5)
",7 - 2 = 5 (left: 5 5),-
"12 - 7 = 5 (left: 2 5 7)
","12 - 7 = 5 (left: 2 5 7)
7 / 5 = 1.4 (left: 2 1.4)
",7 / 5 = 1.4 (left: 2 1.4),/
"2 + 2 = 4 (left: 4 7 12)
","2 + 2 = 4 (left: 4 7 12)
4 + 7 = 11 (left: 11 12)
",4 + 7 = 11 (left: 11 12),+
"2 + 2 = 4 (left: 4 7 12)
","2 + 2 = 4 (left: 4 7 12)
7 + 4 = 11 (left: 11 12)
",7 + 4 = 11 (left: 11 12),+
"2 + 2 = 4 (left: 4 7 12)
","2 + 2 = 4 (left: 4 7 12)
4 * 7 = 28 (left: 28 12)
",4 * 7 = 28 (left: 28 12),*
"2 + 2 = 4 (left: 4 7 12)
","2 + 2 = 4 (left: 4 7 12)
7 * 4 = 28 (left: 28 12)
",7 * 4 = 28 (left: 28 12),*
"2 + 2 = 4 (left: 4 7 12)
","2 + 2 = 4 (left: 4 7 12)
7 - 4 = 3 (left: 3 12)
",7 - 4 = 3 (left: 3 12),-
"2 + 2 = 4 (left: 4 7 12)
","2 + 2 = 4 (left: 4 7 12)
4 - 7 = -3 (left: -3 12)
",4 - 7 = -3 (left: -3 12),-
"2 + 2 = 4 (left: 4 7 12)
","2 + 2 = 4 (left: 4 7 12)
7 / 4 = 1.75 (left: 1.75 12)
",7 / 4 = 1.75 (left: 1.75 12),/
"2 + 2 = 4 (left: 4 7 12)
","2 + 2 = 4 (left: 4 7 12)
4 / 7 = 0.57 (left: 0.57 12)
",4 / 7 = 0.57 (left: 0.57 12),/
"2 + 2 = 4 (left: 4 7 12)
","2 + 2 = 4 (left: 4 7 12)
12 + 4 = 16 (left: 7 16)
",12 + 4 = 16 (left: 7 16),+
"2 + 2 = 4 (left: 4 7 12)
","2 + 2 = 4 (left: 4 7 12)
12 - 4 = 8 (left: 8 12)
",12 - 4 = 8 (left: 8 12),-
"2 + 2 = 4 (left: 4 7 12)
","2 + 2 = 4 (left: 4 7 12)
12 / 4 = 3 (left: 3 12)
",12 / 4 = 3 (left: 3 12),/
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
4 + 7 = 11 (left: 11 12)
",4 + 7 = 11 (left: 11 12),+
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
7 - 4 = 3 (left: 3 12)
",7 - 4 = 3 (left: 3 12),-
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
4 * 7 = 28 (left: 28 12)
",4 * 7 = 28 (left: 28 12),*
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
7 / 4 = 1.75 (left: 1.75 12)
",7 / 4 = 1.75 (left: 1.75 12),/
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
12 + 4 = 16 (left: 7 16)
",12 + 4 = 16 (left: 7 16),+
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
4 - 7 = -3 (left: -3 12)
",4 - 7 = -3 (left: -3 12),-
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
7 * 4 = 28 (left: 28 12)
",7 * 4 = 28 (left: 28 12),*
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
12 - 4 = 8 (left: 8 12)
",12 - 4 = 8 (left: 8 12),-
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
4 / 7 = 0.571 (left: 0.571 12)
",4 / 7 = 0.571 (left: 0.571 12),/
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
12 + 7 = 19 (left: 4 19)
",12 + 7 = 19 (left: 4 19),+
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
7 - 12 = -5 (left: -5 12)
",7 - 12 = -5 (left: -5 12),-
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
12 * 4 = 48 (left: 48 12)
",12 * 4 = 48 (left: 48 12),*
"2 * 2 = 4 (left: 4 7 12)
","2 * 2 = 4 (left: 4 7 12)
12 / 4 = 3 (left: 3 12)
",12 / 4 = 3 (left: 3 12),/
