id,node_id,step,value
1 2 8 13,n654,0,
"1 + 2 = 3 (left: 3 8 13)
",n655,1,60.0
"2 + 8 = 10 (left: 1 10 13)
",n656,1,60.0
"8 + 13 = 21 (left: 1 2 21)
",n657,1,40.001
"1 * 2 = 2 (left: 2 8 13)
",n658,1,0.003
"2 * 8 = 16 (left: 1 16 13)
",n659,1,1.002
"8 - 2 = 6 (left: 1 6 13)
",n660,1,2.001
"13 - 8 = 5 (left: 1 2 5)
",n661,1,2.001
"13 / 2 = 6.5 (left: 1 6.5 8)
",n662,1,3.0
"13 - 2 = 11 (left: 1 11 8)
",n663,1,1.002
"1 + 2 = 3 (left: 3 8 13)
3 + 8 = 11 (left: 11 13)
",n664,2,40.001
"1 + 2 = 3 (left: 3 8 13)
8 / 3 = 2.67 (left: 2.67 13)
",n665,2,1.001
"1 + 2 = 3 (left: 3 8 13)
13 + 3 = 16 (left: 8 16)
",n666,2,60.0
"1 + 2 = 3 (left: 3 8 13)
3 * 8 = 24 (left: 13 24)
",n667,2,0.003
"1 + 2 = 3 (left: 3 8 13)
8 - 3 = 5 (left: 5 13)
",n668,2,3.0
"1 + 2 = 3 (left: 3 8 13)
13 - 8 = 5 (left: 3 5)
",n669,2,3.0
"1 + 2 = 3 (left: 3 8 13)
13 / 3 = 4.33 (left: 8 4.33)
",n670,2,2.0
"1 + 2 = 3 (left: 3 8 13)
13 - 3 = 10 (left: 8 10)
",n671,2,1.001
"1 + 2 = 3 (left: 3 8 13)
Input: 4 7 15
",n672,2,0.003
"1 + 2 = 3 (left: 3 8 13)
Possible next steps:
",n673,2,0.003
"1 + 2 = 3 (left: 3 8 13)
4 + 7 = 11 (left: 11 15)
",n674,2,0.003
"1 + 2 = 3 (left: 3 8 13)
7 / 4 = 1.75 (left: 1.75 15)
",n675,2,0.001
"1 + 2 = 3 (left: 3 8 13)
15 + 4 = 19 (left: 7 19)
",n676,2,0.002
"1 + 2 = 3 (left: 3 8 13)
4 * 7 = 28 (left: 15 28)
",n677,2,0.003
"1 + 2 = 3 (left: 3 8 13)
7 - 4 = 3 (left: 3 15)
",n678,2,2.001
"1 + 2 = 3 (left: 3 8 13)
15 - 7 = 8 (left: 4 8)
",n679,2,3.0
"1 + 2 = 3 (left: 3 8 13)
15 / 4 = 3.75 (left: 7 3.75)
",n680,2,1.001
