Source,Target,last_formula,operator
null,1 2 8 13,,
1 2 8 13,"1 + 2 = 3 (left: 3 8 13)
",1 + 2 = 3 (left: 3 8 13),+
1 2 8 13,"2 + 8 = 10 (left: 1 10 13)
",2 + 8 = 10 (left: 1 10 13),+
1 2 8 13,"8 + 13 = 21 (left: 1 2 21)
",8 + 13 = 21 (left: 1 2 21),+
1 2 8 13,"1 * 2 = 2 (left: 2 8 13)
",1 * 2 = 2 (left: 2 8 13),*
1 2 8 13,"2 * 8 = 16 (left: 1 16 13)
",2 * 8 = 16 (left: 1 16 13),*
1 2 8 13,"8 - 2 = 6 (left: 1 6 13)
",8 - 2 = 6 (left: 1 6 13),-
1 2 8 13,"13 - 8 = 5 (left: 1 2 5)
",13 - 8 = 5 (left: 1 2 5),-
1 2 8 13,"13 / 2 = 6.5 (left: 1 6.5 8)
",13 / 2 = 6.5 (left: 1 6.5 8),/
1 2 8 13,"13 - 2 = 11 (left: 1 11 8)
",13 - 2 = 11 (left: 1 11 8),-
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
3 + 8 = 11 (left: 11 13)
",3 + 8 = 11 (left: 11 13),+
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
8 / 3 = 2.67 (left: 2.67 13)
",8 / 3 = 2.67 (left: 2.67 13),/
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
13 + 3 = 16 (left: 8 16)
",13 + 3 = 16 (left: 8 16),+
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
3 * 8 = 24 (left: 13 24)
",3 * 8 = 24 (left: 13 24),*
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
8 - 3 = 5 (left: 5 13)
",8 - 3 = 5 (left: 5 13),-
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
13 - 8 = 5 (left: 3 5)
",13 - 8 = 5 (left: 3 5),-
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
13 / 3 = 4.33 (left: 8 4.33)
",13 / 3 = 4.33 (left: 8 4.33),/
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
13 - 3 = 10 (left: 8 10)
",13 - 3 = 10 (left: 8 10),-
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
Input: 4 7 15
",Input: 4 7 15,
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
Possible next steps:
",Possible next steps:,
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
4 + 7 = 11 (left: 11 15)
",4 + 7 = 11 (left: 11 15),+
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
7 / 4 = 1.75 (left: 1.75 15)
",7 / 4 = 1.75 (left: 1.75 15),/
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
15 + 4 = 19 (left: 7 19)
",15 + 4 = 19 (left: 7 19),+
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
4 * 7 = 28 (left: 15 28)
",4 * 7 = 28 (left: 15 28),*
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
7 - 4 = 3 (left: 3 15)
",7 - 4 = 3 (left: 3 15),-
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
15 - 7 = 8 (left: 4 8)
",15 - 7 = 8 (left: 4 8),-
"1 + 2 = 3 (left: 3 8 13)
","1 + 2 = 3 (left: 3 8 13)
15 / 4 = 3.75 (left: 7 3.75)
",15 / 4 = 3.75 (left: 7 3.75),/
