Source,Target,last_formula,operator
null,1 1 11 11,,
1 1 11 11,"1 + 1 = 2 (left: 11 11 2)
",1 + 1 = 2 (left: 11 11 2),+
1 1 11 11,"1 * 1 = 1 (left: 11 11 1)
",1 * 1 = 1 (left: 11 11 1),*
1 1 11 11,"11 + 1 = 12 (left: 11 12 11)
",11 + 1 = 12 (left: 11 12 11),+
1 1 11 11,"1 - 1 = 0 (left: 11 11 0)
",1 - 1 = 0 (left: 11 11 0),-
1 1 11 11,"1 / 1 = 1 (left: 11 11 1)
",1 / 1 = 1 (left: 11 11 1),/
1 1 11 11,"11 - 1 = 10 (left: 11 10 11)
",11 - 1 = 10 (left: 11 10 11),-
1 1 11 11,"11 - 1 = 10 (left: 1 10 11)
",11 - 1 = 10 (left: 1 10 11),-
1 1 11 11,"11 / 1 = 11 (left: 11 11 11)
",11 / 1 = 11 (left: 11 11 11),/
"1 + 1 = 2 (left: 11 11 2)
","1 + 1 = 2 (left: 11 11 2)
11 + 11 = 22 (left: 2 22)
",11 + 11 = 22 (left: 2 22),+
"1 + 1 = 2 (left: 11 11 2)
","1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
",11 / 11 = 1 (left: 2 1),/
"1 + 1 = 2 (left: 11 11 2)
","1 + 1 = 2 (left: 11 11 2)
2 + 11 = 13 (left: 11 13)
",2 + 11 = 13 (left: 11 13),+
"1 + 1 = 2 (left: 11 11 2)
","1 + 1 = 2 (left: 11 11 2)
11 - 11 = 0 (left: 2 0)
",11 - 11 = 0 (left: 2 0),-
"1 + 1 = 2 (left: 11 11 2)
","1 + 1 = 2 (left: 11 11 2)
11 / 2 = 5.5 (left: 5.5 11)
",11 / 2 = 5.5 (left: 5.5 11),/
"1 + 1 = 2 (left: 11 11 2)
","1 + 1 = 2 (left: 11 11 2)
11 - 2 = 9 (left: 9 11)
",11 - 2 = 9 (left: 9 11),-
"1 * 1 = 1 (left: 11 11 1)
","1 * 1 = 1 (left: 11 11 1)
11 + 11 = 22 (left: 1 22)
",11 + 11 = 22 (left: 1 22),+
"1 * 1 = 1 (left: 11 11 1)
","1 * 1 = 1 (left: 11 11 1)
11 / 11 = 1 (left: 1 1)
",11 / 11 = 1 (left: 1 1),/
"1 * 1 = 1 (left: 11 11 1)
","1 * 1 = 1 (left: 11 11 1)
11 - 11 = 0 (left: 1 0)
",11 - 11 = 0 (left: 1 0),-
"1 * 1 = 1 (left: 11 11 1)
","1 * 1 = 1 (left: 11 11 1)
1 + 11 = 12 (left: 11 12)
",1 + 11 = 12 (left: 11 12),+
"1 * 1 = 1 (left: 11 11 1)
","1 * 1 = 1 (left: 11 11 1)
11 - 1 = 10 (left: 10 11)
",11 - 1 = 10 (left: 10 11),-
"1 * 1 = 1 (left: 11 11 1)
","1 * 1 = 1 (left: 11 11 1)
1 - 11 = -10 (left: -10 11)
",1 - 11 = -10 (left: -10 11),-
"1 * 1 = 1 (left: 11 11 1)
","1 * 1 = 1 (left: 11 11 1)
11 / 1 = 11 (left: 11 11)
",11 / 1 = 11 (left: 11 11),/
"11 + 1 = 12 (left: 11 12 11)
","11 + 1 = 12 (left: 11 12 11)
11 + 12 = 23 (left: 11 23)
",11 + 12 = 23 (left: 11 23),+
"11 + 1 = 12 (left: 11 12 11)
","11 + 1 = 12 (left: 11 12 11)
12 - 11 = 1 (left: 1 11)
",12 - 11 = 1 (left: 1 11),-
"11 + 1 = 12 (left: 11 12 11)
","11 + 1 = 12 (left: 11 12 11)
11 * 12 = 132 (left: 11 132)
",11 * 12 = 132 (left: 11 132),*
"11 + 1 = 12 (left: 11 12 11)
","11 + 1 = 12 (left: 11 12 11)
12 / 11 = 1 (left: 1 11)
",12 / 11 = 1 (left: 1 11),/
"11 + 1 = 12 (left: 11 12 11)
","11 + 1 = 12 (left: 11 12 11)
11 - 12 = -1 (left: -1 11)
",11 - 12 = -1 (left: -1 11),-
"11 + 1 = 12 (left: 11 12 11)
","11 + 1 = 12 (left: 11 12 11)
12 + 11 = 23 (left: 11 23)
",12 + 11 = 23 (left: 11 23),+
"1 + 1 = 2 (left: 11 11 2)
11 + 11 = 22 (left: 2 22)
","1 + 1 = 2 (left: 11 11 2)
11 + 11 = 22 (left: 2 22)
2 + 22 = 24 (left: 24)
",2 + 22 = 24 (left: 24),+
"1 + 1 = 2 (left: 11 11 2)
11 + 11 = 22 (left: 2 22)
","1 + 1 = 2 (left: 11 11 2)
11 + 11 = 22 (left: 2 22)
2 * 22 = 44 (left: 44)
",2 * 22 = 44 (left: 44),*
"1 + 1 = 2 (left: 11 11 2)
11 + 11 = 22 (left: 2 22)
","1 + 1 = 2 (left: 11 11 2)
11 + 11 = 22 (left: 2 22)
22 - 2 = 20 (left: 20)
",22 - 2 = 20 (left: 20),-
"1 + 1 = 2 (left: 11 11 2)
11 + 11 = 22 (left: 2 22)
","1 + 1 = 2 (left: 11 11 2)
11 + 11 = 22 (left: 2 22)
22 / 2 = 11 (left: 11)
",22 / 2 = 11 (left: 11),/
"1 + 1 = 2 (left: 11 11 2)
2 + 11 = 13 (left: 11 13)
","1 + 1 = 2 (left: 11 11 2)
2 + 11 = 13 (left: 11 13)
11 + 13 = 24 (left: 13 24)
",11 + 13 = 24 (left: 13 24),+
"1 + 1 = 2 (left: 11 11 2)
2 + 11 = 13 (left: 11 13)
","1 + 1 = 2 (left: 11 11 2)
2 + 11 = 13 (left: 11 13)
11 - 13 = -2 (left: -2 13)
",11 - 13 = -2 (left: -2 13),-
"1 + 1 = 2 (left: 11 11 2)
2 + 11 = 13 (left: 11 13)
","1 + 1 = 2 (left: 11 11 2)
2 + 11 = 13 (left: 11 13)
11 * 13 = 143 (left: 13 143)
",11 * 13 = 143 (left: 13 143),*
"1 + 1 = 2 (left: 11 11 2)
2 + 11 = 13 (left: 11 13)
","1 + 1 = 2 (left: 11 11 2)
2 + 11 = 13 (left: 11 13)
11 / 13 = 0.846 (left: 0.846 13)
",11 / 13 = 0.846 (left: 0.846 13),/
"1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
","1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
2 + 1 = 3 (left: 1 3)
",2 + 1 = 3 (left: 1 3),+
"1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
","1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
2 - 1 = 1 (left: 1 1)
",2 - 1 = 1 (left: 1 1),-
"1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
","1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
2 * 1 = 2 (left: 2 1)
",2 * 1 = 2 (left: 2 1),*
"1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
","1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
2 / 1 = 2 (left: 2 2)
",2 / 1 = 2 (left: 2 2),/
"1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
2 / 1 = 2 (left: 2 2)
","1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
2 / 1 = 2 (left: 2 2)
2 + 2 = 4 (left: 4)
",2 + 2 = 4 (left: 4),+
"1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
2 / 1 = 2 (left: 2 2)
","1 + 1 = 2 (left: 11 11 2)
11 / 11 = 1 (left: 2 1)
2 / 1 = 2 (left: 2 2)
2 / 2 = 1 (left: 1)
",2 / 2 = 1 (left: 1),/
