Source,Target,last_formula,operator
null,2 4 6 12,,
2 4 6 12,"2 + 4 = 6 (left: 6 6 12)
",2 + 4 = 6 (left: 6 6 12),+
2 4 6 12,"4 * 6 = 24 (left: 2 6 24)
",4 * 6 = 24 (left: 2 6 24),*
2 4 6 12,"6 + 12 = 18 (left: 2 4 18)
",6 + 12 = 18 (left: 2 4 18),+
2 4 6 12,"2 * 4 = 8 (left: 6 8 12)
",2 * 4 = 8 (left: 6 8 12),*
2 4 6 12,"12 / 2 = 6 (left: 2 4 6)
",12 / 2 = 6 (left: 2 4 6),/
2 4 6 12,"6 - 2 = 4 (left: 4 6 12)
",6 - 2 = 4 (left: 4 6 12),-
2 4 6 12,"12 - 4 = 8 (left: 2 4 8)
",12 - 4 = 8 (left: 2 4 8),-
2 4 6 12,"4 * 6 = 24 (left: 2 24 12)
",4 * 6 = 24 (left: 2 24 12),*
2 4 6 12,"6 - 4 = 2 (left: 2 2 12)
",6 - 4 = 2 (left: 2 2 12),-
2 4 6 12,"12 / 6 = 2 (left: 2 4 2)
",12 / 6 = 2 (left: 2 4 2),/
"2 + 4 = 6 (left: 6 6 12)
","2 + 4 = 6 (left: 6 6 12)
6 + 6 = 12 (left: 6 12 12)
",6 + 6 = 12 (left: 6 12 12),+
"2 + 4 = 6 (left: 6 6 12)
","2 + 4 = 6 (left: 6 6 12)
6 / 6 = 1 (left: 1 6 12)
",6 / 6 = 1 (left: 1 6 12),/
"2 + 4 = 6 (left: 6 6 12)
","2 + 4 = 6 (left: 6 6 12)
12 - 6 = 6 (left: 6 6 6)
",12 - 6 = 6 (left: 6 6 6),-
"2 + 4 = 6 (left: 6 6 12)
","2 + 4 = 6 (left: 6 6 12)
12 / 6 = 2 (left: 6 6 2)
",12 / 6 = 2 (left: 6 6 2),/
"2 + 4 = 6 (left: 6 6 12)
","2 + 4 = 6 (left: 6 6 12)
6 * 6 = 36 (left: 12 6 36)
",6 * 6 = 36 (left: 12 6 36),*
"2 + 4 = 6 (left: 6 6 12)
","2 + 4 = 6 (left: 6 6 12)
6 - 6 = 0 (left: 0 6 12)
",6 - 6 = 0 (left: 0 6 12),-
"6 + 12 = 18 (left: 2 4 18)
","6 + 12 = 18 (left: 2 4 18)
2 + 4 = 6 (left: 6 18)
",2 + 4 = 6 (left: 6 18),+
"6 + 12 = 18 (left: 2 4 18)
","6 + 12 = 18 (left: 2 4 18)
4 * 18 = 72 (left: 2 72)
",4 * 18 = 72 (left: 2 72),*
"6 + 12 = 18 (left: 2 4 18)
","6 + 12 = 18 (left: 2 4 18)
18 - 2 = 16 (left: 4 16)
",18 - 2 = 16 (left: 4 16),-
"6 + 12 = 18 (left: 2 4 18)
","6 + 12 = 18 (left: 2 4 18)
2 * 4 = 8 (left: 8 18)
",2 * 4 = 8 (left: 8 18),*
