Source,Target,last_formula,operator
null,5 5 8 10,,
5 5 8 10,"5 + 5 = 10 (left: 8 10 10)
",5 + 5 = 10 (left: 8 10 10),+
5 5 8 10,"5 * 5 = 25 (left: 8 10 25)
",5 * 5 = 25 (left: 8 10 25),*
5 5 8 10,"8 - 5 = 3 (left: 3 5 10)
",8 - 5 = 3 (left: 3 5 10),-
5 5 8 10,"10 - 5 = 5 (left: 5 5 5)
",10 - 5 = 5 (left: 5 5 5),-
5 5 8 10,"5 + 8 = 13 (left: 5 10 13)
",5 + 8 = 13 (left: 5 10 13),+
5 5 8 10,"5 * 8 = 40 (left: 10 40 10)
",5 * 8 = 40 (left: 10 40 10),*
5 5 8 10,"8 / 5 = 1.6 (left: 1.6 5 10)
",8 / 5 = 1.6 (left: 1.6 5 10),/
5 5 8 10,"10 + 5 = 15 (left: 5 8 15)
",10 + 5 = 15 (left: 5 8 15),+
5 5 8 10,"5 - 8 = -3 (left: -3 5 10)
",5 - 8 = -3 (left: -3 5 10),-
"8 / 5 = 1.6 (left: 1.6 5 10)
","8 / 5 = 1.6 (left: 1.6 5 10)
1.6 + 5 = 6.6 (left: 6.6 10)
",1.6 + 5 = 6.6 (left: 6.6 10),+
"8 / 5 = 1.6 (left: 1.6 5 10)
","8 / 5 = 1.6 (left: 1.6 5 10)
5 * 1.6 = 8 (left: 8 10)
",5 * 1.6 = 8 (left: 8 10),*
"8 / 5 = 1.6 (left: 1.6 5 10)
","8 / 5 = 1.6 (left: 1.6 5 10)
10 - 1.6 = 8.4 (left: 5 8.4)
",10 - 1.6 = 8.4 (left: 5 8.4),-
"8 / 5 = 1.6 (left: 1.6 5 10)
","8 / 5 = 1.6 (left: 1.6 5 10)
10 / 1.6 = 6.25 (left: 6.25 5)
",10 / 1.6 = 6.25 (left: 6.25 5),/
"5 - 8 = -3 (left: -3 5 10)
","5 - 8 = -3 (left: -3 5 10)
-3 + 5 = 2 (left: 2 10)
",-3 + 5 = 2 (left: 2 10),-
