id,node_id,step,value
1 3 5 9,n429,0,
"1 + 3 = 4 (left: 4 5 9)
",n430,1,1.002
"3 + 5 = 8 (left: 1 8 9)
",n431,1,1.002
"5 + 9 = 14 (left: 1 3 14)
",n432,1,0.003
"1 * 3 = 3 (left: 3 5 9)
",n433,1,1.002
"3 * 5 = 15 (left: 1 15 9)
",n434,1,0.003
"5 * 9 = 45 (left: 1 3 45)
",n435,1,22.0
"1 - 3 = -2 (left: -2 5 9)
",n436,1,1.002
"3 - 5 = -2 (left: 1 -2 9)
",n437,1,1.002
"5 - 9 = -4 (left: 1 3 -4)
",n438,1,1.002
"1 / 3 = 0.333 (left: 0.333 5 9)
",n439,1,2.001
"3 / 5 = 0.6 (left: 1 0.6 9)
",n440,1,2.001
"5 / 9 = 0.556 (left: 1 3 0.556)
",n441,1,3.0
"5 * 9 = 45 (left: 1 3 45)
1 + 3 = 4 (left: 4 45)
",n442,2,0.0
"5 * 9 = 45 (left: 1 3 45)
3 + 1 = 4 (left: 4 45)
",n443,2,0.0
"5 * 9 = 45 (left: 1 3 45)
1 * 3 = 3 (left: 3 45)
",n444,2,3.0
"5 * 9 = 45 (left: 1 3 45)
3 * 1 = 3 (left: 3 45)
",n445,2,3.0
"5 * 9 = 45 (left: 1 3 45)
3 + 45 = 48 (left: 1 48)
",n446,2,21.0
"5 * 9 = 45 (left: 1 3 45)
45 + 3 = 48 (left: 1 48)
",n447,2,21.0
"5 * 9 = 45 (left: 1 3 45)
3 - 1 = 2 (left: 2 45)
",n448,2,0.002
"5 * 9 = 45 (left: 1 3 45)
1 - 3 = -2 (left: -2 45)
",n449,2,3.0
"5 * 9 = 45 (left: 1 3 45)
1 / 3 = 0.3333 (left: 0.3333 45)
",n450,2,2.001
"5 * 9 = 45 (left: 1 3 45)
3 / 1 = 3 (left: 3 45)
",n451,2,3.0
"5 / 9 = 0.556 (left: 1 3 0.556)
1 + 3 = 4 (left: 0.556 4)
",n452,2,2.001
"5 / 9 = 0.556 (left: 1 3 0.556)
3 + 1 = 4 (left: 0.556 4)
",n453,2,2.001
"5 / 9 = 0.556 (left: 1 3 0.556)
1 - 3 = -2 (left: 0.556 -2)
",n454,2,0.003
"5 / 9 = 0.556 (left: 1 3 0.556)
3 - 1 = 2 (left: 0.556 2)
",n455,2,2.001
"5 / 9 = 0.556 (left: 1 3 0.556)
1 * 3 = 3 (left: 0.556 3)
",n456,2,2.0
"5 / 9 = 0.556 (left: 1 3 0.556)
3 * 1 = 3 (left: 0.556 3)
",n457,2,2.0
"5 / 9 = 0.556 (left: 1 3 0.556)
1 / 3 = 0.333 (left: 0.556 0.333)
",n458,2,3.0
"5 / 9 = 0.556 (left: 1 3 0.556)
3 / 1 = 3 (left: 0.556 3)
",n459,2,2.0
"5 / 9 = 0.556 (left: 1 3 0.556)
1 + 0.556 = 1.556 (left: 3 1.556)
",n460,2,1.001
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 + 1 = 1.556 (left: 3 1.556)
",n461,2,1.001
"5 / 9 = 0.556 (left: 1 3 0.556)
1 - 0.556 = 0.444 (left: 3 0.444)
",n462,2,2.0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 - 1 = -0.444 (left: 3 -0.444)
",n463,2,3.0
"5 / 9 = 0.556 (left: 1 3 0.556)
1 * 0.556 = 0.556 (left: 3 0.556)
",n464,2,22.0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 * 1 = 0.556 (left: 3 0.556)
",n465,2,22.0
"5 / 9 = 0.556 (left: 1 3 0.556)
1 / 0.556 = 1.797 (left: 3 1.797)
",n466,2,0.0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
",n467,2,22.0
"1 / 3 = 0.333 (left: 0.333 5 9)
0.333 + 5 = 5.333 (left: 5.333 9)
",n468,2,2.0
"1 / 3 = 0.333 (left: 0.333 5 9)
5 * 0.333 = 1.665 (left: 1.665 9)
",n469,2,2.0
"1 / 3 = 0.333 (left: 0.333 5 9)
9 + 0.333 = 9.333 (left: 5 9.333)
",n470,2,1.0
"1 / 3 = 0.333 (left: 0.333 5 9)
0.333 * 9 = 2.997 (left: 2.997 9)
",n471,2,1.002
"1 / 3 = 0.333 (left: 0.333 5 9)
9 - 0.333 = 8.667 (left: 5 8.667)
",n472,2,3.0
"1 / 3 = 0.333 (left: 0.333 5 9)
9 / 0.333 = 27.027 (left: 27.027 9)
",n473,2,21.001
"1 / 3 = 0.333 (left: 0.333 5 9)
5 + 9 = 14 (left: 14 9)
",n474,2,0.003
"1 / 3 = 0.333 (left: 0.333 5 9)
9 * 0.333 = 2.997 (left: 2.997 9)
",n475,2,1.002
"1 / 3 = 0.333 (left: 0.333 5 9)
9 - 5 = 4 (left: 0.333 4 9)
",n476,2,2.001
"5 / 9 = 0.556 (left: 1 3 0.556)
1 * 0.556 = 0.556 (left: 3 0.556)
3 + 0.556 = 3.556 (left: 0.556 3.556)
",n477,3,1.002
"5 / 9 = 0.556 (left: 1 3 0.556)
1 * 0.556 = 0.556 (left: 3 0.556)
3 * 0.556 = 1.668 (left: 1.668)
",n478,3,0.0
"5 / 9 = 0.556 (left: 1 3 0.556)
1 * 0.556 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 2.444)
",n479,3,0.001
"5 / 9 = 0.556 (left: 1 3 0.556)
1 * 0.556 = 0.556 (left: 3 0.556)
3 / 0.556 = 5.395 (left: 5.395)
",n480,3,0.001
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 * 1 = 0.556 (left: 3 0.556)
3 + 0.556 = 3.556 (left: 0.556 3.556)
",n481,3,1.002
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 * 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
",n482,3,3.0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 * 1 = 0.556 (left: 3 0.556)
3 * 0.556 = 1.668 (left: 0.556 1.668)
",n483,3,2.001
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 * 1 = 0.556 (left: 3 0.556)
3 / 0.556 = 5.395 (left: 0.556 5.395)
",n484,3,2.001
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
3 + 0.556 = 3.556 (left: 0.556 3.556)
",n485,3,1.002
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
3 * 0.556 = 1.668 (left: 1.668)
",n486,3,0.0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
",n487,3,3.0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
3 / 0.556 = 5.398 (left: 5.398)
",n488,3,0.0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
0.556 + 3 = 3.556 (left: 0.556 3.556)
",n489,3,1.002
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
0.556 * 3 = 1.668 (left: 1.668)
",n490,3,0.0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
0.556 - 3 = -2.444 (left: -2.444)
",n491,3,0.0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
0.556 / 3 = 0.185 (left: 0.185)
",n492,3,0.003
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 * 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
0.556 + 2.444 = 3 (left: 2.444 3)
",n493,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 * 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
2.444 - 0.556 = 1.888 (left: 1.888)
",n494,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 * 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
0.556 * 2.444 = 1.357264 (left: 2.444 1.357264)
",n495,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 * 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
2.444 / 0.556 = 4.399281 (left: 4.399281)
",n496,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
0.556 + 2.444 = 3 (left: 3 2.444)
",n497,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
2.444 + 0.556 = 3 (left: 0.556 3)
",n498,4,2.0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
2.444 - 0.556 = 1.888 (left: 1.888 2.444)
",n499,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
2.444 / 0.556 = 4.4 (left: 4.4 2.444)
",n500,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
0.556 - 2.444 = -1.888 (left: -1.888 2.444)
",n501,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
0.556 / 2.444 = 0.227 (left: 0.227 2.444)
",n502,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
2.444 * 0.556 = 1.358 (left: 1.358 2.444)
",n503,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 / 1 = 0.556 (left: 3 0.556)
3 - 0.556 = 2.444 (left: 0.556 2.444)
2.444 * 2.444 = 5.973 (left: 5.973)
",n504,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 * 1 = 0.556 (left: 3 0.556)
3 * 0.556 = 1.668 (left: 0.556 1.668)
0.556 + 1.668 = 2.224 (left: 2.224)
",n505,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 * 1 = 0.556 (left: 3 0.556)
3 * 0.556 = 1.668 (left: 0.556 1.668)
0.556 * 1.668 = 0.927408 (left: 0.927408)
",n506,4,0
"5 / 9 = 0.556 (left: 1 3 0.556)
0.556 * 1 = 0.556 (left: 3 0.556)
3 * 0.556 = 1.668 (left: 0.556 1.668)
1.668 / 0.556 = 3 (left: 3)
",n507,4,0.0
