Source,Target,last_formula,operator
null,1 3 5 9,,
1 3 5 9,"1 + 3 = 4 (left: 4 5 9)
",1 + 3 = 4 (left: 4 5 9),+
1 3 5 9,"3 + 5 = 8 (left: 1 8 9)
",3 + 5 = 8 (left: 1 8 9),+
1 3 5 9,"5 + 9 = 14 (left: 1 3 14)
",5 + 9 = 14 (left: 1 3 14),+
1 3 5 9,"1 * 3 = 3 (left: 3 5 9)
",1 * 3 = 3 (left: 3 5 9),*
1 3 5 9,"3 * 5 = 15 (left: 1 15 9)
",3 * 5 = 15 (left: 1 15 9),*
1 3 5 9,"5 * 9 = 45 (left: 1 3 45)
",5 * 9 = 45 (left: 1 3 45),*
1 3 5 9,"1 - 3 = -2 (left: -2 5 9)
",1 - 3 = -2 (left: -2 5 9),-
1 3 5 9,"3 - 5 = -2 (left: 1 -2 9)
",3 - 5 = -2 (left: 1 -2 9),-
1 3 5 9,"5 - 9 = -4 (left: 1 3 -4)
",5 - 9 = -4 (left: 1 3 -4),-
1 3 5 9,"1 / 3 = 0.333 (left: 0.333 5 9)
",1 / 3 = 0.333 (left: 0.333 5 9),/
1 3 5 9,"3 / 5 = 0.6 (left: 1 0.6 9)
",3 / 5 = 0.6 (left: 1 0.6 9),/
1 3 5 9,"5 / 9 = 0.556 (left: 1 3 0.556)
",5 / 9 = 0.556 (left: 1 3 0.556),/
"5 * 9 = 45 (left: 1 3 45)
","5 * 9 = 45 (left: 1 3 45)
1 + 3 = 4 (left: 4 45)
",1 + 3 = 4 (left: 4 45),+
"5 * 9 = 45 (left: 1 3 45)
","5 * 9 = 45 (left: 1 3 45)
3 + 1 = 4 (left: 4 45)
",3 + 1 = 4 (left: 4 45),+
"5 * 9 = 45 (left: 1 3 45)
","5 * 9 = 45 (left: 1 3 45)
1 * 3 = 3 (left: 3 45)
",1 * 3 = 3 (left: 3 45),*
"5 * 9 = 45 (left: 1 3 45)
","5 * 9 = 45 (left: 1 3 45)
3 * 1 = 3 (left: 3 45)
",3 * 1 = 3 (left: 3 45),*
"5 * 9 = 45 (left: 1 3 45)
","5 * 9 = 45 (left: 1 3 45)
3 + 45 = 48 (left: 1 48)
",3 + 45 = 48 (left: 1 48),+
"5 * 9 = 45 (left: 1 3 45)
","5 * 9 = 45 (left: 1 3 45)
45 + 3 = 48 (left: 1 48)
",45 + 3 = 48 (left: 1 48),+
"5 * 9 = 45 (left: 1 3 45)
","5 * 9 = 45 (left: 1 3 45)
3 - 1 = 2 (left: 2 45)
",3 - 1 = 2 (left: 2 45),-
"5 * 9 = 45 (left: 1 3 45)
","5 * 9 = 45 (left: 1 3 45)
1 - 3 = -2 (left: -2 45)
",1 - 3 = -2 (left: -2 45),-
"5 * 9 = 45 (left: 1 3 45)
","5 * 9 = 45 (left: 1 3 45)
1 / 3 = 0.3333 (left: 0.3333 45)
",1 / 3 = 0.3333 (left: 0.3333 45),/
"5 * 9 = 45 (left: 1 3 45)
","5 * 9 = 45 (left: 1 3 45)
3 / 1 = 3 (left: 3 45)
",3 / 1 = 3 (left: 3 45),/
"5 / 9 = 0.556 (left: 1 3 0.556)
","5 / 9 = 0.556 (left: 1 3 0.556)
1 + 3 = 4 (left: 0.556 4)
",1 + 3 = 4 (left: 0.556 4),+
"5 / 9 = 0.556 (left: 1 3 0.556)
","5 / 9 = 0.556 (left: 1 3 0.556)
3 + 1 = 4 (left: 0.556 4)
",3 + 1 = 4 (left: 0.556 4),+
"5 / 9 = 0.556 (left: 1 3 0.556)
","5 / 9 = 0.556 (left: 1 3 0.556)
1 - 3 = -2 (left: 0.556 -2)
",1 - 3 = -2 (left: 0.556 -2),-
"5 / 9 = 0.556 (left: 1 3 0.556)
","5 / 9 = 0.556 (left: 1 3 0.556)
3 - 1 = 2 (left: 0.556 2)
",3 - 1 = 2 (left: 0.556 2),-
"5 / 9 = 0.556 (left: 1 3 0.556)
","5 / 9 = 0.556 (left: 1 3 0.556)
1 * 3 = 3 (left: 0.556 3)
",1 * 3 = 3 (left: 0.556 3),*
"5 / 9 = 0.556 (left: 1 3 0.556)
","5 / 9 = 0.556 (left: 1 3 0.556)
3 * 1 = 3 (left: 0.556 3)
",3 * 1 = 3 (left: 0.556 3),*
"5 / 9 = 0.556 (left: 1 3 0.556)
","5 / 9 = 0.556 (left: 1 3 0.556)
1 / 3 = 0.333 (left: 0.556 0.333)
",1 / 3 = 0.333 (left: 0.556 0.333),/
"5 / 9 = 0.556 (left: 1 3 0.556)
","5 / 9 = 0.556 (left: 1 3 0.556)
3 / 1 = 3 (left: 0.556 3)
",3 / 1 = 3 (left: 0.556 3),/
"5 / 9 = 0.556 (left: 1 3 0.556)
","5 / 9 = 0.556 (left: 1 3 0.556)
1 + 0.556 = 1.556 (left: 3 1.556)
",1 + 0.556 = 1.556 (left: 3 1.556),+
"5 / 9 = 0.556 (left: 1 3 0.556)
","5 / 9 = 0.556 (left: 1 3 0.556)
0.556 + 1 = 1.556 (left: 3 1.556)
",0.556 + 1 = 1.556 (left: 3 1.556),+
