Source,Target,last_formula,operator
null,3 3 6 7,,
3 3 6 7,"3 + 3 = 6 (left: 6 6 7)
",3 + 3 = 6 (left: 6 6 7),+
3 3 6 7,"3 * 3 = 9 (left: 9 6 7)
",3 * 3 = 9 (left: 9 6 7),*
3 3 6 7,"6 + 3 = 9 (left: 3 9 7)
",6 + 3 = 9 (left: 3 9 7),+
3 3 6 7,"7 - 3 = 4 (left: 3 6 4)
",7 - 3 = 4 (left: 3 6 4),-
3 3 6 7,"7 - 6 = 1 (left: 3 3 1)
",7 - 6 = 1 (left: 3 3 1),-
3 3 6 7,"7 / 3 = 2 (left: 2 3 6)
",7 / 3 = 2 (left: 2 3 6),/
3 3 6 7,"7 / 6 = 1 (left: 3 3 1)
",7 / 6 = 1 (left: 3 3 1),/
3 3 6 7,"6 - 3 = 3 (left: 3 3 3)
",6 - 3 = 3 (left: 3 3 3),-
"3 + 3 = 6 (left: 6 6 7)
","3 + 3 = 6 (left: 6 6 7)
6 + 6 = 12 (left: 7 12)
",6 + 6 = 12 (left: 7 12),+
"3 + 3 = 6 (left: 6 6 7)
","3 + 3 = 6 (left: 6 6 7)
6 / 6 = 1 (left: 1 7)
",6 / 6 = 1 (left: 1 7),/
"3 + 3 = 6 (left: 6 6 7)
","3 + 3 = 6 (left: 6 6 7)
7 + 6 = 13 (left: 6 13)
",7 + 6 = 13 (left: 6 13),+
"3 + 3 = 6 (left: 6 6 7)
","3 + 3 = 6 (left: 6 6 7)
6 * 6 = 36 (left: 7 36)
",6 * 6 = 36 (left: 7 36),*
"3 + 3 = 6 (left: 6 6 7)
","3 + 3 = 6 (left: 6 6 7)
6 - 6 = 0 (left: 0 7)
",6 - 6 = 0 (left: 0 7),-
"3 + 3 = 6 (left: 6 6 7)
","3 + 3 = 6 (left: 6 6 7)
7 - 6 = 1 (left: 6 1)
",7 - 6 = 1 (left: 6 1),-
"3 * 3 = 9 (left: 9 6 7)
","3 * 3 = 9 (left: 9 6 7)
9 + 6 = 15 (left: 7 15)
",9 + 6 = 15 (left: 7 15),+
"3 * 3 = 9 (left: 9 6 7)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
",6 + 7 = 13 (left: 9 13),+
"3 * 3 = 9 (left: 9 6 7)
","3 * 3 = 9 (left: 9 6 7)
9 * 6 = 54 (left: 7 54)
",9 * 6 = 54 (left: 7 54),*
"3 * 3 = 9 (left: 9 6 7)
","3 * 3 = 9 (left: 9 6 7)
6 * 7 = 42 (left: 9 42)
",6 * 7 = 42 (left: 9 42),*
"3 * 3 = 9 (left: 9 6 7)
","3 * 3 = 9 (left: 9 6 7)
9 - 6 = 3 (left: 3 7)
",9 - 6 = 3 (left: 3 7),-
"3 * 3 = 9 (left: 9 6 7)
","3 * 3 = 9 (left: 9 6 7)
6 - 7 = -1 (left: 9 -1)
",6 - 7 = -1 (left: 9 -1),-
"3 * 3 = 9 (left: 9 6 7)
","3 * 3 = 9 (left: 9 6 7)
9 / 6 「 1.5 (left: 7 1.5)
",9 / 6 「 1.5 (left: 7 1.5),/
"3 * 3 = 9 (left: 9 6 7)
","3 * 3 = 9 (left: 9 6 7)
6 / 7 「 0.857 (left: 9 0.857)
",6 / 7 「 0.857 (left: 9 0.857),/
"6 + 3 = 9 (left: 3 9 7)
","6 + 3 = 9 (left: 3 9 7)
3 + 9 = 12 (left: 7 12)
",3 + 9 = 12 (left: 7 12),+
"6 + 3 = 9 (left: 3 9 7)
","6 + 3 = 9 (left: 3 9 7)
9 - 3 = 6 (left: 6 7)
",9 - 3 = 6 (left: 6 7),-
"6 + 3 = 9 (left: 3 9 7)
","6 + 3 = 9 (left: 3 9 7)
3 * 9 = 27 (left: 7 27)
",3 * 9 = 27 (left: 7 27),*
"6 + 3 = 9 (left: 3 9 7)
","6 + 3 = 9 (left: 3 9 7)
9 / 3 = 3 (left: 3 7)
",9 / 3 = 3 (left: 3 7),/
"6 + 3 = 9 (left: 3 9 7)
","6 + 3 = 9 (left: 3 9 7)
7 + 9 = 16 (left: 3 16)
",7 + 9 = 16 (left: 3 16),+
"6 + 3 = 9 (left: 3 9 7)
","6 + 3 = 9 (left: 3 9 7)
9 - 7 = 2 (left: 2 7)
",9 - 7 = 2 (left: 2 7),-
"6 + 3 = 9 (left: 3 9 7)
","6 + 3 = 9 (left: 3 9 7)
7 * 3 = 21 (left: 21)
",7 * 3 = 21 (left: 21),*
"6 + 3 = 9 (left: 3 9 7)
","6 + 3 = 9 (left: 3 9 7)
3 - 9 = -6 (left: -6 7)
",3 - 9 = -6 (left: -6 7),-
"6 + 3 = 9 (left: 3 9 7)
","6 + 3 = 9 (left: 3 9 7)
9 / 7 = 1.2857 (left: 1.2857)
",9 / 7 = 1.2857 (left: 1.2857),/
"6 + 3 = 9 (left: 3 9 7)
","6 + 3 = 9 (left: 3 9 7)
7 - 3 = 4 (left: 4)
",7 - 3 = 4 (left: 4),-
"3 + 3 = 6 (left: 6 6 7)
6 / 6 = 1 (left: 1 7)
","3 + 3 = 6 (left: 6 6 7)
6 / 6 = 1 (left: 1 7)
1 + 7 = 8 (left: 8)
",1 + 7 = 8 (left: 8),+
"3 + 3 = 6 (left: 6 6 7)
6 / 6 = 1 (left: 1 7)
","3 + 3 = 6 (left: 6 6 7)
6 / 6 = 1 (left: 1 7)
1 * 7 = 7 (left: 7)
",1 * 7 = 7 (left: 7),*
"3 + 3 = 6 (left: 6 6 7)
6 / 6 = 1 (left: 1 7)
","3 + 3 = 6 (left: 6 6 7)
6 / 6 = 1 (left: 1 7)
7 - 1 = 6 (left: 6)
",7 - 1 = 6 (left: 6),-
"3 + 3 = 6 (left: 6 6 7)
6 / 6 = 1 (left: 1 7)
","3 + 3 = 6 (left: 6 6 7)
6 / 6 = 1 (left: 1 7)
7 / 1 = 7 (left: 7)
",7 / 1 = 7 (left: 7),/
"3 + 3 = 6 (left: 6 6 7)
7 - 6 = 1 (left: 6 1)
","3 + 3 = 6 (left: 6 6 7)
7 - 6 = 1 (left: 6 1)
6 + 1 = 7 (left: 7)
",6 + 1 = 7 (left: 7),+
"3 + 3 = 6 (left: 6 6 7)
7 - 6 = 1 (left: 6 1)
","3 + 3 = 6 (left: 6 6 7)
7 - 6 = 1 (left: 6 1)
6 - 1 = 5 (left: 5)
",6 - 1 = 5 (left: 5),-
"3 + 3 = 6 (left: 6 6 7)
7 - 6 = 1 (left: 6 1)
","3 + 3 = 6 (left: 6 6 7)
7 - 6 = 1 (left: 6 1)
6 * 1 = 6 (left: 6)
",6 * 1 = 6 (left: 6),*
"3 + 3 = 6 (left: 6 6 7)
7 - 6 = 1 (left: 6 1)
","3 + 3 = 6 (left: 6 6 7)
7 - 6 = 1 (left: 6 1)
6 / 1 = 6 (left: 6)
",6 / 1 = 6 (left: 6),/
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 + 13 = 22 (left: 22)
",9 + 13 = 22 (left: 22),+
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
",9 * 13 = 117 (left: 117),*
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
13 - 9 = 4 (left: 4)
",13 - 9 = 4 (left: 4),-
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
13 / 9 = 1.44 (left: 1.44)
",13 / 9 = 1.44 (left: 1.44),/
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
117 + 2 = 119 (left: 117 119)
",117 + 2 = 119 (left: 117 119),+
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
117 / 2 = 58.5 (left: 58.5 117)
",117 / 2 = 58.5 (left: 58.5 117),/
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
117 - 2 = 115 (left: 115 117)
",117 - 2 = 115 (left: 115 117),-
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
117 * 2 = 234 (left: 117 234)
",117 * 2 = 234 (left: 117 234),*
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
117 + 8 = 125 (left: 117 125)
",117 + 8 = 125 (left: 117 125),+
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
117 / 8 = 14.625 (left: 14.625 117)
",117 / 8 = 14.625 (left: 14.625 117),/
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
117 - 8 = 109 (left: 109 117)
",117 - 8 = 109 (left: 109 117),-
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
117 * 8 = 936 (left: 117 936)
",117 * 8 = 936 (left: 117 936),*
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
13 / 9 = 1.44 (left: 1.44)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
13 / 9 = 1.44 (left: 1.44)
1.44 + 1.44 = 2.88 (left: 2.88)
",1.44 + 1.44 = 2.88 (left: 2.88),+
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
13 / 9 = 1.44 (left: 1.44)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
13 / 9 = 1.44 (left: 1.44)
1.44 / 1.44 = 1 (left: 1)
",1.44 / 1.44 = 1 (left: 1),/
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
13 / 9 = 1.44 (left: 1.44)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
13 / 9 = 1.44 (left: 1.44)
1.44 * 1.44 = 2.0736 (left: 2.0736)
",1.44 * 1.44 = 2.0736 (left: 2.0736),*
"3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
13 / 9 = 1.44 (left: 1.44)
","3 * 3 = 9 (left: 9 6 7)
6 + 7 = 13 (left: 9 13)
13 / 9 = 1.44 (left: 1.44)
1.44 - 1.44 = 0 (left: 0)
",1.44 - 1.44 = 0 (left: 0),-
"3 + 3 = 6 (left: 6 6 7)
6 / 6 = 1 (left: 1 7)
1 + 7 = 8 (left: 8)
","3 + 3 = 6 (left: 6 6 7)
6 / 6 = 1 (left: 1 7)
1 + 7 = 8 (left: 8)
8 + 8 = 16 (left: 8 16)
",8 + 8 = 16 (left: 8 16),+
