Source,Target,last_formula,operator
null,4 7 9 13,,
4 7 9 13,"4 + 7 = 11 (left: 9 11 13)
",4 + 7 = 11 (left: 9 11 13),+
4 7 9 13,"7 / 4 = 1.75 (left: 1.75 9 13)
",7 / 4 = 1.75 (left: 1.75 9 13),/
4 7 9 13,"13 + 4 = 17 (left: 7 9 17)
",13 + 4 = 17 (left: 7 9 17),+
4 7 9 13,"4 * 7 = 28 (left: 9 13 28)
",4 * 7 = 28 (left: 9 13 28),*
4 7 9 13,"7 - 4 = 3 (left: 3 9 13)
",7 - 4 = 3 (left: 3 9 13),-
4 7 9 13,"13 - 7 = 6 (left: 4 6 9)
",13 - 7 = 6 (left: 4 6 9),-
4 7 9 13,"13 / 4 = 3.25 (left: 3.25 7 9)
",13 / 4 = 3.25 (left: 3.25 7 9),/
4 7 9 13,"13 - 4 = 9 (left: 7 9 9)
",13 - 4 = 9 (left: 7 9 9),-
"13 / 4 = 3.25 (left: 3.25 7 9)
","13 / 4 = 3.25 (left: 3.25 7 9)
3.25 + 7 = 10.25 (left: 9 10.25)
",3.25 + 7 = 10.25 (left: 9 10.25),+
"13 / 4 = 3.25 (left: 3.25 7 9)
","13 / 4 = 3.25 (left: 3.25 7 9)
7 / 3.25 = 2.15384615385 (left: 2.15384615385 9)
",7 / 3.25 = 2.15384615385 (left: 2.15384615385 9),/
"13 / 4 = 3.25 (left: 3.25 7 9)
","13 / 4 = 3.25 (left: 3.25 7 9)
9 + 3.25 = 12.25 (left: 7 12.25)
",9 + 3.25 = 12.25 (left: 7 12.25),+
"13 / 4 = 3.25 (left: 3.25 7 9)
","13 / 4 = 3.25 (left: 3.25 7 9)
3.25 * 7 = 22.75 (left: 9 22.75)
",3.25 * 7 = 22.75 (left: 9 22.75),*
"13 / 4 = 3.25 (left: 3.25 7 9)
","13 / 4 = 3.25 (left: 3.25 7 9)
7 - 3.25 = 3.75 (left: 3.75 9)
",7 - 3.25 = 3.75 (left: 3.75 9),-
"13 / 4 = 3.25 (left: 3.25 7 9)
","13 / 4 = 3.25 (left: 3.25 7 9)
9 - 7 = 2 (left: 2 9)
",9 - 7 = 2 (left: 2 9),-
"13 / 4 = 3.25 (left: 3.25 7 9)
","13 / 4 = 3.25 (left: 3.25 7 9)
9 / 3.25 = 2.76923076923 (left: 2.76923076923 7)
",9 / 3.25 = 2.76923076923 (left: 2.76923076923 7),/
"13 / 4 = 3.25 (left: 3.25 7 9)
","13 / 4 = 3.25 (left: 3.25 7 9)
9 - 3.25 = 5.75 (left: 5.75 7)
",9 - 3.25 = 5.75 (left: 5.75 7),-
"7 / 4 = 1.75 (left: 1.75 9 13)
","7 / 4 = 1.75 (left: 1.75 9 13)
1.75 + 9 = 10.75 (left: 10.75 13)
",1.75 + 9 = 10.75 (left: 10.75 13),+
"7 / 4 = 1.75 (left: 1.75 9 13)
","7 / 4 = 1.75 (left: 1.75 9 13)
9 / 1.75 = 5.14 (left: 5.14 13)
",9 / 1.75 = 5.14 (left: 5.14 13),/
"7 / 4 = 1.75 (left: 1.75 9 13)
","7 / 4 = 1.75 (left: 1.75 9 13)
13 + 1.75 = 14.75 (left: 9 14.75)
",13 + 1.75 = 14.75 (left: 9 14.75),+
"7 / 4 = 1.75 (left: 1.75 9 13)
","7 / 4 = 1.75 (left: 1.75 9 13)
1.75 * 9 = 15.75 (left: 15.75 13)
",1.75 * 9 = 15.75 (left: 15.75 13),*
"7 / 4 = 1.75 (left: 1.75 9 13)
","7 / 4 = 1.75 (left: 1.75 9 13)
9 - 1.75 = 7.25 (left: 7.25 13)
",9 - 1.75 = 7.25 (left: 7.25 13),-
"7 / 4 = 1.75 (left: 1.75 9 13)
","7 / 4 = 1.75 (left: 1.75 9 13)
13 - 9 = 4 (left: 1.75 4)
",13 - 9 = 4 (left: 1.75 4),-
