Source,Target,last_formula,operator
null,5 6 7 13,,
5 6 7 13,"5 + 6 = 11 (left: 7 11 13)
",5 + 6 = 11 (left: 7 11 13),+
5 6 7 13,"5 * 6 = 30 (left: 7 13 30)
",5 * 6 = 30 (left: 7 13 30),*
5 6 7 13,"6 + 7 = 13 (left: 5 13 13)
",6 + 7 = 13 (left: 5 13 13),+
5 6 7 13,"7 - 5 = 2 (left: 2 6 13)
",7 - 5 = 2 (left: 2 6 13),-
5 6 7 13,"13 - 7 = 6 (left: 5 6 6)
",13 - 7 = 6 (left: 5 6 6),-
5 6 7 13,"13 - 6 = 7 (left: 5 7 7)
",13 - 6 = 7 (left: 5 7 7),-
5 6 7 13,"7 / 5 = 1 (left: 1 6 13)
",7 / 5 = 1 (left: 1 6 13),/
5 6 7 13,"7 * 5 = 35 (left: 6 7 35)
",7 * 5 = 35 (left: 6 7 35),*
"13 - 7 = 6 (left: 5 6 6)
","13 - 7 = 6 (left: 5 6 6)
5 + 6 = 11 (left: 6 11)
",5 + 6 = 11 (left: 6 11),+
"13 - 7 = 6 (left: 5 6 6)
","13 - 7 = 6 (left: 5 6 6)
6 + 6 = 12 (left: 6 12)
",6 + 6 = 12 (left: 6 12),+
"13 - 7 = 6 (left: 5 6 6)
","13 - 7 = 6 (left: 5 6 6)
5 * 6 = 30 (left: 6 30)
",5 * 6 = 30 (left: 6 30),*
"13 - 7 = 6 (left: 5 6 6)
","13 - 7 = 6 (left: 5 6 6)
6 / 5 = 1.2 (left: 1.2 6)
",6 / 5 = 1.2 (left: 1.2 6),/
"13 - 7 = 6 (left: 5 6 6)
","13 - 7 = 6 (left: 5 6 6)
6 - 5 = 1 (left: 1 6)
",6 - 5 = 1 (left: 1 6),-
"13 - 6 = 7 (left: 5 7 7)
","13 - 6 = 7 (left: 5 7 7)
5 + 7 = 12 (left: 7 12)
",5 + 7 = 12 (left: 7 12),+
"13 - 6 = 7 (left: 5 7 7)
","13 - 6 = 7 (left: 5 7 7)
7 / 5 = 1.4 (left: 1.4 7)
",7 / 5 = 1.4 (left: 1.4 7),/
"13 - 6 = 7 (left: 5 7 7)
","13 - 6 = 7 (left: 5 7 7)
7 - 5 = 2 (left: 2 7)
",7 - 5 = 2 (left: 2 7),-
"13 - 6 = 7 (left: 5 7 7)
","13 - 6 = 7 (left: 5 7 7)
7 / 7 = 1 (left: 1)
",7 / 7 = 1 (left: 1),/
"7 / 5 = 1 (left: 1 6 13)
","7 / 5 = 1 (left: 1 6 13)
1 + 6 = 7 (left: 7 13)
",1 + 6 = 7 (left: 7 13),+
"7 / 5 = 1 (left: 1 6 13)
","7 / 5 = 1 (left: 1 6 13)
6 + 13 = 19 (left: 1 19)
",6 + 13 = 19 (left: 1 19),+
"7 / 5 = 1 (left: 1 6 13)
","7 / 5 = 1 (left: 1 6 13)
1 * 6 = 6 (left: 6 13)
",1 * 6 = 6 (left: 6 13),*
"7 / 5 = 1 (left: 1 6 13)
","7 / 5 = 1 (left: 1 6 13)
6 / 1 = 6 (left: 13 6)
",6 / 1 = 6 (left: 13 6),/
"7 / 5 = 1 (left: 1 6 13)
","7 / 5 = 1 (left: 1 6 13)
13 + 1 = 14 (left: 6 14)
",13 + 1 = 14 (left: 6 14),+
"7 / 5 = 1 (left: 1 6 13)
","7 / 5 = 1 (left: 1 6 13)
13 - 1 = 12 (left: 6 12)
",13 - 1 = 12 (left: 6 12),-
"7 / 5 = 1 (left: 1 6 13)
","7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
",1 - 6 = -5 (left: -5 13),-
"7 / 5 = 1 (left: 1 6 13)
","7 / 5 = 1 (left: 1 6 13)
1 / 6 = 0.1667 (left: 0.1667 13)
",1 / 6 = 0.1667 (left: 0.1667 13),/
"7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
","7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
-5 + 13 = 8 (left: 8)
",-5 + 13 = 8 (left: 8),-
"7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
","7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
-5 - 13 = -18 (left: -18)
",-5 - 13 = -18 (left: -18),-
"7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
","7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
-5 * 13 = -65 (left: -65)
",-5 * 13 = -65 (left: -65),-
"7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
","7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
-5 / 13 �� -0.385 (left: -0.385)
",-5 / 13 �� -0.385 (left: -0.385),-
