id,node_id,step,value
5 6 7 13,n1337,0,
"5 + 6 = 11 (left: 7 11 13)
",n1338,1,0.003
"5 * 6 = 30 (left: 7 13 30)
",n1339,1,0.003
"6 + 7 = 13 (left: 5 13 13)
",n1340,1,0.003
"7 - 5 = 2 (left: 2 6 13)
",n1341,1,1.002
"13 - 7 = 6 (left: 5 6 6)
",n1342,1,3.0
"13 - 6 = 7 (left: 5 7 7)
",n1343,1,3.0
"7 / 5 = 1 (left: 1 6 13)
",n1344,1,2.001
"7 * 5 = 35 (left: 6 7 35)
",n1345,1,2.001
"13 - 7 = 6 (left: 5 6 6)
5 + 6 = 11 (left: 6 11)
",n1346,2,3.0
"13 - 7 = 6 (left: 5 6 6)
6 + 6 = 12 (left: 6 12)
",n1347,2,2.001
"13 - 7 = 6 (left: 5 6 6)
5 * 6 = 30 (left: 6 30)
",n1348,2,21.001
"13 - 7 = 6 (left: 5 6 6)
6 / 5 = 1.2 (left: 1.2 6)
",n1349,2,2.001
"13 - 7 = 6 (left: 5 6 6)
6 - 5 = 1 (left: 1 6)
",n1350,2,2.001
"13 - 6 = 7 (left: 5 7 7)
5 + 7 = 12 (left: 7 12)
",n1351,2,2.001
"13 - 6 = 7 (left: 5 7 7)
7 / 5 = 1.4 (left: 1.4 7)
",n1352,2,0.0
"13 - 6 = 7 (left: 5 7 7)
7 - 5 = 2 (left: 2 7)
",n1353,2,3.0
"13 - 6 = 7 (left: 5 7 7)
7 / 7 = 1 (left: 1)
",n1354,2,0
"7 / 5 = 1 (left: 1 6 13)
1 + 6 = 7 (left: 7 13)
",n1355,2,1.002
"7 / 5 = 1 (left: 1 6 13)
6 + 13 = 19 (left: 1 19)
",n1356,2,3.0
"7 / 5 = 1 (left: 1 6 13)
1 * 6 = 6 (left: 6 13)
",n1357,2,2.001
"7 / 5 = 1 (left: 1 6 13)
6 / 1 = 6 (left: 13 6)
",n1358,2,1.002
"7 / 5 = 1 (left: 1 6 13)
13 + 1 = 14 (left: 6 14)
",n1359,2,1.002
"7 / 5 = 1 (left: 1 6 13)
13 - 1 = 12 (left: 6 12)
",n1360,2,2.001
"7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
",n1361,2,22.0
"7 / 5 = 1 (left: 1 6 13)
1 / 6 = 0.1667 (left: 0.1667 13)
",n1362,2,2.0
"7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
-5 + 13 = 8 (left: 8)
",n1363,3,0
"7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
-5 - 13 = -18 (left: -18)
",n1364,3,0
"7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
-5 * 13 = -65 (left: -65)
",n1365,3,0.001
"7 / 5 = 1 (left: 1 6 13)
1 - 6 = -5 (left: -5 13)
-5 / 13 �� -0.385 (left: -0.385)
",n1366,3,0.002
"13 - 7 = 6 (left: 5 6 6)
5 * 6 = 30 (left: 6 30)
6 + 30 = 36 (left: 36)
",n1367,3,0.0
