id,node_id,step,value
6 9 12 13,n1711,0,
"6 + 9 = 15 (left: 12 13 15)
",n1712,1,1.002
"9 - 6 = 3 (left: 3 12 13)
",n1713,1,0.003
"12 - 6 = 6 (left: 9 6 13)
",n1714,1,3.0
"6 * 9 = 54 (left: 12 13 54)
",n1715,1,0.003
"12 + 6 = 18 (left: 9 18 13)
",n1716,1,1.002
"13 - 6 = 7 (left: 12 7 13)
",n1717,1,0.003
"13 / 6 = 2 (left: 9 12 2)
",n1718,1,3.0
"13 - 9 = 4 (left: 6 12 4)
",n1719,1,2.001
"12 - 6 = 6 (left: 9 6 13)
9 + 6 = 15 (left: 13 15)
",n1720,2,0.003
"12 - 6 = 6 (left: 9 6 13)
9 / 6 = 1.5 (left: 1.5 13)
",n1721,2,2.001
"12 - 6 = 6 (left: 9 6 13)
13 + 9 = 22 (left: 6 22)
",n1722,2,0.003
"12 - 6 = 6 (left: 9 6 13)
9 * 6 = 54 (left: 13 54)
",n1723,2,0.003
"12 - 6 = 6 (left: 9 6 13)
6 - 9 = -3 (left: -3 13)
",n1724,2,41.0
"12 - 6 = 6 (left: 9 6 13)
13 - 9 = 4 (left: 6 4)
",n1725,2,41.0
"12 - 6 = 6 (left: 9 6 13)
13 / 9 = 1.44 (left: 1.44)
",n1726,2,0.001
"13 / 6 = 2 (left: 9 12 2)
9 + 12 = 21 (left: 2 21)
",n1727,2,2.001
"13 / 6 = 2 (left: 9 12 2)
9 - 12 = -3 (left: -3 2)
",n1728,2,0.003
"13 / 6 = 2 (left: 9 12 2)
9 * 12 = 108 (left: 2 108)
",n1729,2,21.001
"13 / 6 = 2 (left: 9 12 2)
9 / 12 = 0.75 (left: 0.75 2)
",n1730,2,2.001
"13 / 6 = 2 (left: 9 12 2)
12 + 2 = 14 (left: 9 14)
",n1731,2,2.001
"13 / 6 = 2 (left: 9 12 2)
12 - 2 = 10 (left: 9 10)
",n1732,2,3.0
"13 / 6 = 2 (left: 9 12 2)
12 * 2 = 24 (left: 9 24)
",n1733,2,1.001
"13 / 6 = 2 (left: 9 12 2)
12 / 2 = 6 (left: 9 6)
",n1734,2,1.002
"13 / 6 = 2 (left: 9 12 2)
2 + 9 = 11 (left: 11 12)
",n1735,2,0.003
"13 / 6 = 2 (left: 9 12 2)
2 - 9 = -7 (left: -7 12)
",n1736,2,1.001
"13 / 6 = 2 (left: 9 12 2)
2 * 9 = 18 (left: 18 12)
",n1737,2,0.002
"13 / 6 = 2 (left: 9 12 2)
2 / 9 = 0.22 (left: 0.22 12)
",n1738,2,1.001
"13 - 9 = 4 (left: 6 12 4)
6 + 12 = 18 (left: 4 18)
",n1739,2,1.002
"13 - 9 = 4 (left: 6 12 4)
6 / 12 = 0.5 (left: 0.5 4)
",n1740,2,3.0
"13 - 9 = 4 (left: 6 12 4)
12 + 4 = 16 (left: 6 16)
",n1741,2,0.003
