Source,Target,last_formula,operator
null,6 9 12 13,,
6 9 12 13,"6 + 9 = 15 (left: 12 13 15)
",6 + 9 = 15 (left: 12 13 15),+
6 9 12 13,"9 - 6 = 3 (left: 3 12 13)
",9 - 6 = 3 (left: 3 12 13),-
6 9 12 13,"12 - 6 = 6 (left: 9 6 13)
",12 - 6 = 6 (left: 9 6 13),-
6 9 12 13,"6 * 9 = 54 (left: 12 13 54)
",6 * 9 = 54 (left: 12 13 54),*
6 9 12 13,"12 + 6 = 18 (left: 9 18 13)
",12 + 6 = 18 (left: 9 18 13),+
6 9 12 13,"13 - 6 = 7 (left: 12 7 13)
",13 - 6 = 7 (left: 12 7 13),-
6 9 12 13,"13 / 6 = 2 (left: 9 12 2)
",13 / 6 = 2 (left: 9 12 2),/
6 9 12 13,"13 - 9 = 4 (left: 6 12 4)
",13 - 9 = 4 (left: 6 12 4),-
"12 - 6 = 6 (left: 9 6 13)
","12 - 6 = 6 (left: 9 6 13)
9 + 6 = 15 (left: 13 15)
",9 + 6 = 15 (left: 13 15),+
"12 - 6 = 6 (left: 9 6 13)
","12 - 6 = 6 (left: 9 6 13)
9 / 6 = 1.5 (left: 1.5 13)
",9 / 6 = 1.5 (left: 1.5 13),/
"12 - 6 = 6 (left: 9 6 13)
","12 - 6 = 6 (left: 9 6 13)
13 + 9 = 22 (left: 6 22)
",13 + 9 = 22 (left: 6 22),+
"12 - 6 = 6 (left: 9 6 13)
","12 - 6 = 6 (left: 9 6 13)
9 * 6 = 54 (left: 13 54)
",9 * 6 = 54 (left: 13 54),*
"12 - 6 = 6 (left: 9 6 13)
","12 - 6 = 6 (left: 9 6 13)
6 - 9 = -3 (left: -3 13)
",6 - 9 = -3 (left: -3 13),-
"12 - 6 = 6 (left: 9 6 13)
","12 - 6 = 6 (left: 9 6 13)
13 - 9 = 4 (left: 6 4)
",13 - 9 = 4 (left: 6 4),-
"12 - 6 = 6 (left: 9 6 13)
","12 - 6 = 6 (left: 9 6 13)
13 / 9 = 1.44 (left: 1.44)
",13 / 9 = 1.44 (left: 1.44),/
"13 / 6 = 2 (left: 9 12 2)
","13 / 6 = 2 (left: 9 12 2)
9 + 12 = 21 (left: 2 21)
",9 + 12 = 21 (left: 2 21),+
"13 / 6 = 2 (left: 9 12 2)
","13 / 6 = 2 (left: 9 12 2)
9 - 12 = -3 (left: -3 2)
",9 - 12 = -3 (left: -3 2),-
"13 / 6 = 2 (left: 9 12 2)
","13 / 6 = 2 (left: 9 12 2)
9 * 12 = 108 (left: 2 108)
",9 * 12 = 108 (left: 2 108),*
"13 / 6 = 2 (left: 9 12 2)
","13 / 6 = 2 (left: 9 12 2)
9 / 12 = 0.75 (left: 0.75 2)
",9 / 12 = 0.75 (left: 0.75 2),/
"13 / 6 = 2 (left: 9 12 2)
","13 / 6 = 2 (left: 9 12 2)
12 + 2 = 14 (left: 9 14)
",12 + 2 = 14 (left: 9 14),+
"13 / 6 = 2 (left: 9 12 2)
","13 / 6 = 2 (left: 9 12 2)
12 - 2 = 10 (left: 9 10)
",12 - 2 = 10 (left: 9 10),-
"13 / 6 = 2 (left: 9 12 2)
","13 / 6 = 2 (left: 9 12 2)
12 * 2 = 24 (left: 9 24)
",12 * 2 = 24 (left: 9 24),*
"13 / 6 = 2 (left: 9 12 2)
","13 / 6 = 2 (left: 9 12 2)
12 / 2 = 6 (left: 9 6)
",12 / 2 = 6 (left: 9 6),/
"13 / 6 = 2 (left: 9 12 2)
","13 / 6 = 2 (left: 9 12 2)
2 + 9 = 11 (left: 11 12)
",2 + 9 = 11 (left: 11 12),+
"13 / 6 = 2 (left: 9 12 2)
","13 / 6 = 2 (left: 9 12 2)
2 - 9 = -7 (left: -7 12)
",2 - 9 = -7 (left: -7 12),-
"13 / 6 = 2 (left: 9 12 2)
","13 / 6 = 2 (left: 9 12 2)
2 * 9 = 18 (left: 18 12)
",2 * 9 = 18 (left: 18 12),*
"13 / 6 = 2 (left: 9 12 2)
","13 / 6 = 2 (left: 9 12 2)
2 / 9 = 0.22 (left: 0.22 12)
",2 / 9 = 0.22 (left: 0.22 12),/
"13 - 9 = 4 (left: 6 12 4)
","13 - 9 = 4 (left: 6 12 4)
6 + 12 = 18 (left: 4 18)
",6 + 12 = 18 (left: 4 18),+
"13 - 9 = 4 (left: 6 12 4)
","13 - 9 = 4 (left: 6 12 4)
6 / 12 = 0.5 (left: 0.5 4)
",6 / 12 = 0.5 (left: 0.5 4),/
"13 - 9 = 4 (left: 6 12 4)
","13 - 9 = 4 (left: 6 12 4)
12 + 4 = 16 (left: 6 16)
",12 + 4 = 16 (left: 6 16),+
"13 - 9 = 4 (left: 6 12 4)
","13 - 9 = 4 (left: 6 12 4)
6 * 12 = 72 (left: 4 72)
",6 * 12 = 72 (left: 4 72),*
"13 - 9 = 4 (left: 6 12 4)
","13 - 9 = 4 (left: 6 12 4)
12 - 6 = 6 (left: 6 4)
",12 - 6 = 6 (left: 6 4),-
"13 - 9 = 4 (left: 6 12 4)
","13 - 9 = 4 (left: 6 12 4)
12 / 6 = 2 (left: 2 4)
",12 / 6 = 2 (left: 2 4),/
"13 - 9 = 4 (left: 6 12 4)
","13 - 9 = 4 (left: 6 12 4)
4 + 6 = 10 (left: 10)
",4 + 6 = 10 (left: 10),+
"13 - 9 = 4 (left: 6 12 4)
","13 - 9 = 4 (left: 6 12 4)
4 / 6 = 0.6667 (left: 0.6667)
",4 / 6 = 0.6667 (left: 0.6667),/
"13 - 9 = 4 (left: 6 12 4)
","13 - 9 = 4 (left: 6 12 4)
12 - 4 = 8 (left: 8)
",12 - 4 = 8 (left: 8),-
"13 - 9 = 4 (left: 6 12 4)
","13 - 9 = 4 (left: 6 12 4)
12 / 4 = 3 (left: 3)
",12 / 4 = 3 (left: 3),/
"13 - 9 = 4 (left: 6 12 4)
","13 - 9 = 4 (left: 6 12 4)
4 - 12 = -8 (left: -8)
",4 - 12 = -8 (left: -8),-
"13 - 9 = 4 (left: 6 12 4)
6 * 12 = 72 (left: 4 72)
","13 - 9 = 4 (left: 6 12 4)
6 * 12 = 72 (left: 4 72)
4 + 72 = 76 (left: 76)
",4 + 72 = 76 (left: 76),+
"13 - 9 = 4 (left: 6 12 4)
6 * 12 = 72 (left: 4 72)
","13 - 9 = 4 (left: 6 12 4)
6 * 12 = 72 (left: 4 72)
4 * 72 = 288 (left: 288)
",4 * 72 = 288 (left: 288),*
"13 - 9 = 4 (left: 6 12 4)
6 * 12 = 72 (left: 4 72)
","13 - 9 = 4 (left: 6 12 4)
6 * 12 = 72 (left: 4 72)
72 - 4 = 68 (left: 68)
",72 - 4 = 68 (left: 68),-
"13 - 9 = 4 (left: 6 12 4)
6 * 12 = 72 (left: 4 72)
","13 - 9 = 4 (left: 6 12 4)
6 * 12 = 72 (left: 4 72)
72 / 4 = 18 (left: 18)
",72 / 4 = 18 (left: 18),/
"12 - 6 = 6 (left: 9 6 13)
6 - 9 = -3 (left: -3 13)
","12 - 6 = 6 (left: 9 6 13)
6 - 9 = -3 (left: -3 13)
-3 + 13 = 10 (left: 10)
",-3 + 13 = 10 (left: 10),-
"12 - 6 = 6 (left: 9 6 13)
6 - 9 = -3 (left: -3 13)
","12 - 6 = 6 (left: 9 6 13)
6 - 9 = -3 (left: -3 13)
-3 - 13 = -16 (left: -16)
",-3 - 13 = -16 (left: -16),-
"12 - 6 = 6 (left: 9 6 13)
6 - 9 = -3 (left: -3 13)
","12 - 6 = 6 (left: 9 6 13)
6 - 9 = -3 (left: -3 13)
-3 * 13 = -39 (left: -39)
",-3 * 13 = -39 (left: -39),-
"12 - 6 = 6 (left: 9 6 13)
6 - 9 = -3 (left: -3 13)
","12 - 6 = 6 (left: 9 6 13)
6 - 9 = -3 (left: -3 13)
-3 / 13 = -0.23 (left: -0.23)
",-3 / 13 = -0.23 (left: -0.23),-
"12 - 6 = 6 (left: 9 6 13)
13 - 9 = 4 (left: 6 4)
","12 - 6 = 6 (left: 9 6 13)
13 - 9 = 4 (left: 6 4)
6 + 4 = 10 (left: 10)
",6 + 4 = 10 (left: 10),+
"12 - 6 = 6 (left: 9 6 13)
13 - 9 = 4 (left: 6 4)
","12 - 6 = 6 (left: 9 6 13)
13 - 9 = 4 (left: 6 4)
6 * 4 = 24 (left: 24)
",6 * 4 = 24 (left: 24),*
"12 - 6 = 6 (left: 9 6 13)
13 - 9 = 4 (left: 6 4)
","12 - 6 = 6 (left: 9 6 13)
13 - 9 = 4 (left: 6 4)
6 - 4 = 2 (left: 2)
",6 - 4 = 2 (left: 2),-
