Source,Target,last_formula,operator
null,3 6 9 12,,
3 6 9 12,"3 + 6 = 9 (left: 9 9 12)
",3 + 6 = 9 (left: 9 9 12),+
3 6 9 12,"6 / 3 = 2 (left: 2 9 12)
",6 / 3 = 2 (left: 2 9 12),/
3 6 9 12,"9 + 3 = 12 (left: 6 9 12)
",9 + 3 = 12 (left: 6 9 12),+
3 6 9 12,"3 * 6 = 18 (left: 9 12 18)
",3 * 6 = 18 (left: 9 12 18),*
3 6 9 12,"6 - 3 = 3 (left: 3 9 12)
",6 - 3 = 3 (left: 3 9 12),-
3 6 9 12,"12 - 6 = 6 (left: 3 6 12)
",12 - 6 = 6 (left: 3 6 12),-
3 6 9 12,"12 / 3 = 4 (left: 4 6 9)
",12 / 3 = 4 (left: 4 6 9),/
3 6 9 12,"12 - 3 = 9 (left: 6 9 9)
",12 - 3 = 9 (left: 6 9 9),-
"6 - 3 = 3 (left: 3 9 12)
","6 - 3 = 3 (left: 3 9 12)
3 + 9 = 12 (left: 12 12)
",3 + 9 = 12 (left: 12 12),+
"6 - 3 = 3 (left: 3 9 12)
","6 - 3 = 3 (left: 3 9 12)
9 / 3 = 3 (left: 3 12)
",9 / 3 = 3 (left: 3 12),/
"6 - 3 = 3 (left: 3 9 12)
","6 - 3 = 3 (left: 3 9 12)
12 + 3 = 15 (left: 9 15)
",12 + 3 = 15 (left: 9 15),+
"6 - 3 = 3 (left: 3 9 12)
","6 - 3 = 3 (left: 3 9 12)
3 * 9 = 27 (left: 12 27)
",3 * 9 = 27 (left: 12 27),*
"6 - 3 = 3 (left: 3 9 12)
","6 - 3 = 3 (left: 3 9 12)
9 - 3 = 6 (left: 6 12)
",9 - 3 = 6 (left: 6 12),-
"6 - 3 = 3 (left: 3 9 12)
","6 - 3 = 3 (left: 3 9 12)
12 - 9 = 3 (left: 3 12)
",12 - 9 = 3 (left: 3 12),-
"6 - 3 = 3 (left: 3 9 12)
","6 - 3 = 3 (left: 3 9 12)
12 / 3 = 4 (left: 4 12)
",12 / 3 = 4 (left: 4 12),/
"6 - 3 = 3 (left: 3 9 12)
","6 - 3 = 3 (left: 3 9 12)
12 - 3 = 9 (left: 9 12)
",12 - 3 = 9 (left: 9 12),-
"12 - 3 = 9 (left: 6 9 9)
","12 - 3 = 9 (left: 6 9 9)
6 + 9 = 15 (left: 9 15)
",6 + 9 = 15 (left: 9 15),+
"12 - 3 = 9 (left: 6 9 9)
","12 - 3 = 9 (left: 6 9 9)
9 / 6 = 1.5 (left: 1.5 9)
",9 / 6 = 1.5 (left: 1.5 9),/
"12 - 3 = 9 (left: 6 9 9)
","12 - 3 = 9 (left: 6 9 9)
9 + 6 = 15 (left: 9 15)
",9 + 6 = 15 (left: 9 15),+
"12 - 3 = 9 (left: 6 9 9)
","12 - 3 = 9 (left: 6 9 9)
6 * 9 = 54 (left: 9 9)
",6 * 9 = 54 (left: 9 9),*
"12 - 3 = 9 (left: 6 9 9)
","12 - 3 = 9 (left: 6 9 9)
9 - 6 = 3 (left: 3 9)
",9 - 6 = 3 (left: 3 9),-
"9 + 3 = 12 (left: 6 9 12)
","9 + 3 = 12 (left: 6 9 12)
6 + 9 = 15 (left: 12 15)
",6 + 9 = 15 (left: 12 15),+
"9 + 3 = 12 (left: 6 9 12)
","9 + 3 = 12 (left: 6 9 12)
6 * 9 = 54 (left: 12 54)
",6 * 9 = 54 (left: 12 54),*
"9 + 3 = 12 (left: 6 9 12)
","9 + 3 = 12 (left: 6 9 12)
9 - 6 = 3 (left: 3 12)
",9 - 6 = 3 (left: 3 12),-
"9 + 3 = 12 (left: 6 9 12)
","9 + 3 = 12 (left: 6 9 12)
9 / 6 = 1.5 (left: 1.5 12)
",9 / 6 = 1.5 (left: 1.5 12),/
"9 + 3 = 12 (left: 6 9 12)
","9 + 3 = 12 (left: 6 9 12)
12 + 6 = 18 (left: 9 18)
",12 + 6 = 18 (left: 9 18),+
"9 + 3 = 12 (left: 6 9 12)
","9 + 3 = 12 (left: 6 9 12)
12 * 6 = 72 (left: 9 72)
",12 * 6 = 72 (left: 9 72),*
"9 + 3 = 12 (left: 6 9 12)
","9 + 3 = 12 (left: 6 9 12)
12 - 6 = 6 (left: 6 12)
",12 - 6 = 6 (left: 6 12),-
"9 + 3 = 12 (left: 6 9 12)
","9 + 3 = 12 (left: 6 9 12)
12 / 6 = 2 (left: 2 12)
",12 / 6 = 2 (left: 2 12),/
"6 - 3 = 3 (left: 3 9 12)
3 + 9 = 12 (left: 12 12)
","6 - 3 = 3 (left: 3 9 12)
3 + 9 = 12 (left: 12 12)
12 + 12 = 24 (left: 24)
",12 + 12 = 24 (left: 24),+
"6 - 3 = 3 (left: 3 9 12)
3 + 9 = 12 (left: 12 12)
","6 - 3 = 3 (left: 3 9 12)
3 + 9 = 12 (left: 12 12)
12 - 12 = 0 (left: 0)
",12 - 12 = 0 (left: 0),-
"6 - 3 = 3 (left: 3 9 12)
3 + 9 = 12 (left: 12 12)
","6 - 3 = 3 (left: 3 9 12)
3 + 9 = 12 (left: 12 12)
12 * 12 = 144 (left: 144)
",12 * 12 = 144 (left: 144),*
"6 - 3 = 3 (left: 3 9 12)
3 + 9 = 12 (left: 12 12)
","6 - 3 = 3 (left: 3 9 12)
3 + 9 = 12 (left: 12 12)
12 / 12 = 1 (left: 1)
",12 / 12 = 1 (left: 1),/
"6 - 3 = 3 (left: 3 9 12)
3 + 9 = 12 (left: 12 12)
","6 - 3 = 3 (left: 3 9 12)
3 + 9 = 12 (left: 12 12)
12 ^ 12 = 8916100448256 (left: 8916100448256)
",12 ^ 12 = 8916100448256 (left: 8916100448256),
"6 - 3 = 3 (left: 3 9 12)
12 + 3 = 15 (left: 9 15)
","6 - 3 = 3 (left: 3 9 12)
12 + 3 = 15 (left: 9 15)
9 + 15 = 24 (left: 15 24)
",9 + 15 = 24 (left: 15 24),+
"6 - 3 = 3 (left: 3 9 12)
12 + 3 = 15 (left: 9 15)
","6 - 3 = 3 (left: 3 9 12)
12 + 3 = 15 (left: 9 15)
9 * 15 = 135 (left: 15 135)
",9 * 15 = 135 (left: 15 135),*
"6 - 3 = 3 (left: 3 9 12)
12 + 3 = 15 (left: 9 15)
","6 - 3 = 3 (left: 3 9 12)
12 + 3 = 15 (left: 9 15)
15 - 9 = 6 (left: 6 15)
",15 - 9 = 6 (left: 6 15),-
"6 - 3 = 3 (left: 3 9 12)
12 + 3 = 15 (left: 9 15)
","6 - 3 = 3 (left: 3 9 12)
12 + 3 = 15 (left: 9 15)
15 / 9 = 1.67 (left: 1.67 15)
",15 / 9 = 1.67 (left: 1.67 15),/
"6 - 3 = 3 (left: 3 9 12)
12 + 3 = 15 (left: 9 15)
","6 - 3 = 3 (left: 3 9 12)
12 + 3 = 15 (left: 9 15)
9 - 15 = -6 (left: -6 9)
",9 - 15 = -6 (left: -6 9),-
"12 - 3 = 9 (left: 6 9 9)
6 + 9 = 15 (left: 9 15)
","12 - 3 = 9 (left: 6 9 9)
6 + 9 = 15 (left: 9 15)
9 + 15 = 24 (left: 15 24)
",9 + 15 = 24 (left: 15 24),+
"12 - 3 = 9 (left: 6 9 9)
6 + 9 = 15 (left: 9 15)
","12 - 3 = 9 (left: 6 9 9)
6 + 9 = 15 (left: 9 15)
9 - 15 = -6 (left: -6 15)
",9 - 15 = -6 (left: -6 15),-
"12 - 3 = 9 (left: 6 9 9)
6 + 9 = 15 (left: 9 15)
","12 - 3 = 9 (left: 6 9 9)
6 + 9 = 15 (left: 9 15)
9 * 15 = 135 (left: 15 135)
",9 * 15 = 135 (left: 15 135),*
