Source,Target,last_formula,operator
null,6 7 8 9,,
6 7 8 9,"6 + 7 = 13 (left: 8 9 13)
",6 + 7 = 13 (left: 8 9 13),+
6 7 8 9,"7 + 8 = 15 (left: 6 9 15)
",7 + 8 = 15 (left: 6 9 15),+
6 7 8 9,"8 + 9 = 17 (left: 6 7 17)
",8 + 9 = 17 (left: 6 7 17),+
6 7 8 9,"6 * 7 = 42 (left: 8 9 42)
",6 * 7 = 42 (left: 8 9 42),*
6 7 8 9,"7 * 8 = 56 (left: 6 9 56)
",7 * 8 = 56 (left: 6 9 56),*
6 7 8 9,"8 * 9 = 72 (left: 6 7 72)
",8 * 9 = 72 (left: 6 7 72),*
6 7 8 9,"6 - 7 = -1 (left: -1 8 9)
",6 - 7 = -1 (left: -1 8 9),-
6 7 8 9,"7 - 8 = -1 (left: 6 -1 9)
",7 - 8 = -1 (left: 6 -1 9),-
6 7 8 9,"8 - 9 = -1 (left: 6 7 -1)
",8 - 9 = -1 (left: 6 7 -1),-
6 7 8 9,"6 / 7 = 0.857 (left: 8 9 0.857)
",6 / 7 = 0.857 (left: 8 9 0.857),/
6 7 8 9,"7 / 8 = 0.875 (left: 6 9 0.875)
",7 / 8 = 0.875 (left: 6 9 0.875),/
6 7 8 9,"8 / 9 = 0.889 (left: 6 7 0.889)
",8 / 9 = 0.889 (left: 6 7 0.889),/
"8 - 9 = -1 (left: 6 7 -1)
","8 - 9 = -1 (left: 6 7 -1)
6 + 7 = 13 (left: 13 -1)
",6 + 7 = 13 (left: 13 -1),+
"8 - 9 = -1 (left: 6 7 -1)
","8 - 9 = -1 (left: 6 7 -1)
6 - 7 = -1 (left: -1 -1)
",6 - 7 = -1 (left: -1 -1),-
"8 - 9 = -1 (left: 6 7 -1)
","8 - 9 = -1 (left: 6 7 -1)
6 / 7 = 0.857 (left: 0.857 -1)
",6 / 7 = 0.857 (left: 0.857 -1),/
"8 - 9 = -1 (left: 6 7 -1)
","8 - 9 = -1 (left: 6 7 -1)
6 * 7 = 42 (left: 42 -1)
",6 * 7 = 42 (left: 42 -1),*
"8 - 9 = -1 (left: 6 7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 + (-1) = 6 (left: 6 -1)
",7 + (-1) = 6 (left: 6 -1),+
"8 - 9 = -1 (left: 6 7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 - (-1) = 8 (left: 8 -1)
",7 - (-1) = 8 (left: 8 -1),-
"8 - 9 = -1 (left: 6 7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 / (-1) = -7 (left: -7 -1)
",7 / (-1) = -7 (left: -7 -1),/
"8 - 9 = -1 (left: 6 7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 * (-1) = -7 (left: -7 -1)
",7 * (-1) = -7 (left: -7 -1),*
"8 * 9 = 72 (left: 6 7 72)
","8 * 9 = 72 (left: 6 7 72)
6 + 7 = 13 (left: 13 72)
",6 + 7 = 13 (left: 13 72),+
"8 * 9 = 72 (left: 6 7 72)
","8 * 9 = 72 (left: 6 7 72)
6 * 7 = 42 (left: 42 72)
",6 * 7 = 42 (left: 42 72),*
"8 * 9 = 72 (left: 6 7 72)
","8 * 9 = 72 (left: 6 7 72)
7 * 6 = 42 (left: 42 72)
",7 * 6 = 42 (left: 42 72),*
"8 * 9 = 72 (left: 6 7 72)
","8 * 9 = 72 (left: 6 7 72)
7 + 6 = 13 (left: 13 72)
",7 + 6 = 13 (left: 13 72),+
"8 * 9 = 72 (left: 6 7 72)
","8 * 9 = 72 (left: 6 7 72)
6 - 7 = -1 (left: -1 72)
",6 - 7 = -1 (left: -1 72),-
"8 * 9 = 72 (left: 6 7 72)
","8 * 9 = 72 (left: 6 7 72)
7 - 6 = 1 (left: 1 72)
",7 - 6 = 1 (left: 1 72),-
"8 * 9 = 72 (left: 6 7 72)
","8 * 9 = 72 (left: 6 7 72)
72 / 6 = 12 (left: 7 12)
",72 / 6 = 12 (left: 7 12),/
"8 * 9 = 72 (left: 6 7 72)
","8 * 9 = 72 (left: 6 7 72)
72 / 7 = 10 (left: 6 10)
",72 / 7 = 10 (left: 6 10),/
"8 * 9 = 72 (left: 6 7 72)
","8 * 9 = 72 (left: 6 7 72)
72 - 6 = 66 (left: 7 66)
",72 - 6 = 66 (left: 7 66),-
"8 * 9 = 72 (left: 6 7 72)
","8 * 9 = 72 (left: 6 7 72)
72 - 7 = 65 (left: 6 65)
",72 - 7 = 65 (left: 6 65),-
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
6 - (-1) = 7 (left: 7 9)
",6 - (-1) = 7 (left: 7 9),-
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
6 + (-1) = 5 (left: 5 9)
",6 + (-1) = 5 (left: 5 9),+
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
6 * (-1) = -6 (left: -6 9)
",6 * (-1) = -6 (left: -6 9),*
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
6 / (-1) = -6 (left: -6 9)
",6 / (-1) = -6 (left: -6 9),/
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
-1 + 9 = 8 (left: 6 8)
",-1 + 9 = 8 (left: 6 8),-
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
-1 - 6 = -7 (left: -7 9)
",-1 - 6 = -7 (left: -7 9),-
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
-1 * 9 = -9 (left: -9 9)
",-1 * 9 = -9 (left: -9 9),-
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
-1 / 9 = -0.1111111111111111 (left: -0.1111111111111111 9)
",-1 / 9 = -0.1111111111111111 (left: -0.1111111111111111 9),-
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
9 - 6 = 3 (left: 3 9)
",9 - 6 = 3 (left: 3 9),-
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
9 + (-1) = 8 (left: 6 8)
",9 + (-1) = 8 (left: 6 8),+
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
9 * (-1) = -9 (left: -9 9)
",9 * (-1) = -9 (left: -9 9),*
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
9 / (-1) = -9 (left: -9 9)
",9 / (-1) = -9 (left: -9 9),/
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
9 - (-1) = 10 (left: 6 10)
",9 - (-1) = 10 (left: 6 10),-
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
9 + 9 = 18 (left: 6 18)
",9 + 9 = 18 (left: 6 18),+
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
9 * 9 = 81 (left: 6 81)
",9 * 9 = 81 (left: 6 81),*
"7 - 8 = -1 (left: 6 -1 9)
","7 - 8 = -1 (left: 6 -1 9)
9 / 9 = 1 (left: 6 1)
",9 / 9 = 1 (left: 6 1),/
"8 - 9 = -1 (left: 6 7 -1)
7 / (-1) = -7 (left: -7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 / (-1) = -7 (left: -7 -1)
-7 + (-1) = -8 (left: -8 -1)
",-7 + (-1) = -8 (left: -8 -1),-
"8 - 9 = -1 (left: 6 7 -1)
7 / (-1) = -7 (left: -7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 / (-1) = -7 (left: -7 -1)
-7 - (-1) = -6 (left: -6 -1)
",-7 - (-1) = -6 (left: -6 -1),-
"8 - 9 = -1 (left: 6 7 -1)
7 / (-1) = -7 (left: -7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 / (-1) = -7 (left: -7 -1)
-1 - (-7) = 6 (left: 6 -7)
",-1 - (-7) = 6 (left: 6 -7),-
"8 - 9 = -1 (left: 6 7 -1)
7 / (-1) = -7 (left: -7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 / (-1) = -7 (left: -7 -1)
-7 * (-1) = 7 (left: 7 -1)
",-7 * (-1) = 7 (left: 7 -1),-
"8 - 9 = -1 (left: 6 7 -1)
7 / (-1) = -7 (left: -7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 / (-1) = -7 (left: -7 -1)
-7 / (-1) = 7 (left: 7 -1)
",-7 / (-1) = 7 (left: 7 -1),-
"8 - 9 = -1 (left: 6 7 -1)
7 * (-1) = -7 (left: -7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 * (-1) = -7 (left: -7 -1)
-7 + (-1) = -8 (left: -8 -1)
",-7 + (-1) = -8 (left: -8 -1),-
"8 - 9 = -1 (left: 6 7 -1)
7 * (-1) = -7 (left: -7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 * (-1) = -7 (left: -7 -1)
-1 - (-7) = 6 (left: -7 6)
",-1 - (-7) = 6 (left: -7 6),-
"8 - 9 = -1 (left: 6 7 -1)
7 * (-1) = -7 (left: -7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 * (-1) = -7 (left: -7 -1)
-7 - 1 = -8 (left: -8)
",-7 - 1 = -8 (left: -8),-
"8 - 9 = -1 (left: 6 7 -1)
7 * (-1) = -7 (left: -7 -1)
","8 - 9 = -1 (left: 6 7 -1)
7 * (-1) = -7 (left: -7 -1)
-1 - 7 = -8 (left: -8)
",-1 - 7 = -8 (left: -8),-
"7 - 8 = -1 (left: 6 -1 9)
9 + 9 = 18 (left: 6 18)
","7 - 8 = -1 (left: 6 -1 9)
9 + 9 = 18 (left: 6 18)
6 + 18 = 24 (left: 24)
",6 + 18 = 24 (left: 24),+
"7 - 8 = -1 (left: 6 -1 9)
9 + 9 = 18 (left: 6 18)
","7 - 8 = -1 (left: 6 -1 9)
9 + 9 = 18 (left: 6 18)
6 * 18 = 108 (left: 108)
",6 * 18 = 108 (left: 108),*
"7 - 8 = -1 (left: 6 -1 9)
9 + 9 = 18 (left: 6 18)
","7 - 8 = -1 (left: 6 -1 9)
9 + 9 = 18 (left: 6 18)
18 - 6 = 12 (left: 12)
",18 - 6 = 12 (left: 12),-
"7 - 8 = -1 (left: 6 -1 9)
9 + 9 = 18 (left: 6 18)
","7 - 8 = -1 (left: 6 -1 9)
9 + 9 = 18 (left: 6 18)
18 / 6 = 3 (left: 3)
",18 / 6 = 3 (left: 3),/
"7 - 8 = -1 (left: 6 -1 9)
9 + 9 = 18 (left: 6 18)
","7 - 8 = -1 (left: 6 -1 9)
9 + 9 = 18 (left: 6 18)
Input: 3 5 7
",Input: 3 5 7,
