Source,Target,last_formula,operator
null,2 5 8 11,,
2 5 8 11,"2 + 5 = 7 (left: 7 8 11)
",2 + 5 = 7 (left: 7 8 11),+
2 5 8 11,"5 + 8 = 13 (left: 2 13 11)
",5 + 8 = 13 (left: 2 13 11),+
2 5 8 11,"2 * 5 = 10 (left: 10 8 11)
",2 * 5 = 10 (left: 10 8 11),*
2 5 8 11,"11 - 2 = 9 (left: 9 5 8)
",11 - 2 = 9 (left: 9 5 8),-
2 5 8 11,"11 - 5 = 6 (left: 2 6 8)
",11 - 5 = 6 (left: 2 6 8),-
2 5 8 11,"8 - 2 = 6 (left: 6 5 8)
",8 - 2 = 6 (left: 6 5 8),-
2 5 8 11,"8 - 5 = 3 (left: 2 3 8)
",8 - 5 = 3 (left: 2 3 8),-
2 5 8 11,"11 + 2 = 13 (left: 5 8 13)
",11 + 2 = 13 (left: 5 8 13),+
2 5 8 11,"2 * 8 = 16 (left: 16 5 11)
",2 * 8 = 16 (left: 16 5 11),*
"11 - 2 = 9 (left: 9 5 8)
","11 - 2 = 9 (left: 9 5 8)
9 + 5 = 14 (left: 8 14)
",9 + 5 = 14 (left: 8 14),+
"11 - 2 = 9 (left: 9 5 8)
","11 - 2 = 9 (left: 9 5 8)
9 - 5 = 4 (left: 4 8)
",9 - 5 = 4 (left: 4 8),-
"11 - 2 = 9 (left: 9 5 8)
","11 - 2 = 9 (left: 9 5 8)
9 * 5 = 45 (left: 8 45)
",9 * 5 = 45 (left: 8 45),*
"11 - 2 = 9 (left: 9 5 8)
","11 - 2 = 9 (left: 9 5 8)
9 / 5 = 1.8 (left: 1.8 8)
",9 / 5 = 1.8 (left: 1.8 8),/
"11 - 2 = 9 (left: 9 5 8)
","11 - 2 = 9 (left: 9 5 8)
5 + 8 = 13 (left: 9 13)
",5 + 8 = 13 (left: 9 13),+
"11 - 2 = 9 (left: 9 5 8)
","11 - 2 = 9 (left: 9 5 8)
5 - 8 = -3 (left: -3 8)
",5 - 8 = -3 (left: -3 8),-
"11 - 2 = 9 (left: 9 5 8)
","11 - 2 = 9 (left: 9 5 8)
5 * 8 = 40 (left: 8 40)
",5 * 8 = 40 (left: 8 40),*
"11 - 2 = 9 (left: 9 5 8)
","11 - 2 = 9 (left: 9 5 8)
5 / 8 = 0.625 (left: 0.625 8)
",5 / 8 = 0.625 (left: 0.625 8),/
"11 - 2 = 9 (left: 9 5 8)
","11 - 2 = 9 (left: 9 5 8)
8 + 9 = 17 (left: 5 17)
",8 + 9 = 17 (left: 5 17),+
"11 - 2 = 9 (left: 9 5 8)
","11 - 2 = 9 (left: 9 5 8)
8 - 9 = -1 (left: -1 8)
",8 - 9 = -1 (left: -1 8),-
"11 - 2 = 9 (left: 9 5 8)
","11 - 2 = 9 (left: 9 5 8)
8 * 9 = 72 (left: 5 72)
",8 * 9 = 72 (left: 5 72),*
"11 - 2 = 9 (left: 9 5 8)
","11 - 2 = 9 (left: 9 5 8)
8 / 9 = 0.8889 (left: 0.8889 8)
",8 / 9 = 0.8889 (left: 0.8889 8),/
"11 - 5 = 6 (left: 2 6 8)
","11 - 5 = 6 (left: 2 6 8)
2 + 6 = 8 (left: 8 8)
",2 + 6 = 8 (left: 8 8),+
"11 - 5 = 6 (left: 2 6 8)
","11 - 5 = 6 (left: 2 6 8)
2 * 6 = 12 (left: 8 12)
",2 * 6 = 12 (left: 8 12),*
"11 - 5 = 6 (left: 2 6 8)
","11 - 5 = 6 (left: 2 6 8)
6 - 2 = 4 (left: 4 8)
",6 - 2 = 4 (left: 4 8),-
"11 - 5 = 6 (left: 2 6 8)
","11 - 5 = 6 (left: 2 6 8)
8 - 2 = 6 (left: 6 8)
",8 - 2 = 6 (left: 6 8),-
"11 - 5 = 6 (left: 2 6 8)
","11 - 5 = 6 (left: 2 6 8)
6 / 2 = 3 (left: 3 8)
",6 / 2 = 3 (left: 3 8),/
"11 - 5 = 6 (left: 2 6 8)
","11 - 5 = 6 (left: 2 6 8)
8 / 2 = 4 (left: 4 8)
",8 / 2 = 4 (left: 4 8),/
"8 - 2 = 6 (left: 6 5 8)
","8 - 2 = 6 (left: 6 5 8)
6 + 5 = 11 (left: 8 11)
",6 + 5 = 11 (left: 8 11),+
"8 - 2 = 6 (left: 6 5 8)
","8 - 2 = 6 (left: 6 5 8)
6 / 5 = 1.2 (left: 1.2 8)
",6 / 5 = 1.2 (left: 1.2 8),/
"8 - 2 = 6 (left: 6 5 8)
","8 - 2 = 6 (left: 6 5 8)
6 * 5 = 30 (left: 8 30)
",6 * 5 = 30 (left: 8 30),*
"8 - 2 = 6 (left: 6 5 8)
","8 - 2 = 6 (left: 6 5 8)
6 - 5 = 1 (left: 1 8)
",6 - 5 = 1 (left: 1 8),-
"8 - 2 = 6 (left: 6 5 8)
","8 - 2 = 6 (left: 6 5 8)
5 + 8 = 13 (left: 6 13)
",5 + 8 = 13 (left: 6 13),+
"8 - 2 = 6 (left: 6 5 8)
","8 - 2 = 6 (left: 6 5 8)
5 / 8 = 0.625 (left: 0.625 8)
",5 / 8 = 0.625 (left: 0.625 8),/
"8 - 2 = 6 (left: 6 5 8)
","8 - 2 = 6 (left: 6 5 8)
5 * 8 = 40 (left: 8 40)
",5 * 8 = 40 (left: 8 40),*
"8 - 2 = 6 (left: 6 5 8)
","8 - 2 = 6 (left: 6 5 8)
5 - 8 = -3 (left: -3 8)
",5 - 8 = -3 (left: -3 8),-
"8 - 2 = 6 (left: 6 5 8)
","8 - 2 = 6 (left: 6 5 8)
8 + 6 = 14 (left: 5 14)
",8 + 6 = 14 (left: 5 14),+
"8 - 2 = 6 (left: 6 5 8)
","8 - 2 = 6 (left: 6 5 8)
8 / 6 = 1.333 (left: 1.333 8)
",8 / 6 = 1.333 (left: 1.333 8),/
"8 - 2 = 6 (left: 6 5 8)
","8 - 2 = 6 (left: 6 5 8)
8 * 6 = 48 (left: 8 48)
",8 * 6 = 48 (left: 8 48),*
"8 - 2 = 6 (left: 6 5 8)
","8 - 2 = 6 (left: 6 5 8)
8 - 6 = 2 (left: 2 8)
",8 - 6 = 2 (left: 2 8),-
"11 - 2 = 9 (left: 9 5 8)
9 - 5 = 4 (left: 4 8)
","11 - 2 = 9 (left: 9 5 8)
9 - 5 = 4 (left: 4 8)
4 + 8 = 12 (left: 8 12)
",4 + 8 = 12 (left: 8 12),+
"11 - 2 = 9 (left: 9 5 8)
9 - 5 = 4 (left: 4 8)
","11 - 2 = 9 (left: 9 5 8)
9 - 5 = 4 (left: 4 8)
4 * 8 = 32 (left: 8 32)
",4 * 8 = 32 (left: 8 32),*
"11 - 2 = 9 (left: 9 5 8)
9 - 5 = 4 (left: 4 8)
","11 - 2 = 9 (left: 9 5 8)
9 - 5 = 4 (left: 4 8)
8 / 4 = 2 (left: 2 8)
",8 / 4 = 2 (left: 2 8),/
"11 - 2 = 9 (left: 9 5 8)
9 - 5 = 4 (left: 4 8)
","11 - 2 = 9 (left: 9 5 8)
9 - 5 = 4 (left: 4 8)
8 - 4 = 4 (left: 4 8)
",8 - 4 = 4 (left: 4 8),-
"11 - 2 = 9 (left: 9 5 8)
5 + 8 = 13 (left: 9 13)
","11 - 2 = 9 (left: 9 5 8)
5 + 8 = 13 (left: 9 13)
9 + 13 = 22 (left: 22)
",9 + 13 = 22 (left: 22),+
"11 - 2 = 9 (left: 9 5 8)
5 + 8 = 13 (left: 9 13)
","11 - 2 = 9 (left: 9 5 8)
5 + 8 = 13 (left: 9 13)
9 - 13 = -4 (left: -4)
",9 - 13 = -4 (left: -4),-
"11 - 2 = 9 (left: 9 5 8)
5 + 8 = 13 (left: 9 13)
","11 - 2 = 9 (left: 9 5 8)
5 + 8 = 13 (left: 9 13)
9 * 13 = 117 (left: 117)
",9 * 13 = 117 (left: 117),*
"11 - 2 = 9 (left: 9 5 8)
5 + 8 = 13 (left: 9 13)
","11 - 2 = 9 (left: 9 5 8)
5 + 8 = 13 (left: 9 13)
9 / 13 �� 0.6923 (left: 0.6923)
",9 / 13 �� 0.6923 (left: 0.6923),/
"11 - 2 = 9 (left: 9 5 8)
5 / 8 = 0.625 (left: 0.625 8)
","11 - 2 = 9 (left: 9 5 8)
5 / 8 = 0.625 (left: 0.625 8)
0.625 * 8 = 5 (left: 5 8)
",0.625 * 8 = 5 (left: 5 8),*
"11 - 2 = 9 (left: 9 5 8)
5 / 8 = 0.625 (left: 0.625 8)
","11 - 2 = 9 (left: 9 5 8)
5 / 8 = 0.625 (left: 0.625 8)
0.625 + 8 = 8.625 (left: 8.625)
",0.625 + 8 = 8.625 (left: 8.625),+
