id,node_id,step,value
2 3 6 9,n352,0,
"2 + 3 = 5 (left: 5 6 9)
",n353,1,41.0
"3 * 6 = 18 (left: 2 6 18)
",n354,1,21.001
"6 - 2 = 4 (left: 4 6 9)
",n355,1,2.001
"9 - 6 = 3 (left: 2 3 9)
",n356,1,1.002
"9 / 3 = 3 (left: 2 3 6)
",n357,1,3.0
"2 * 3 = 6 (left: 6 6 9)
",n358,1,3.0
"6 + 9 = 15 (left: 2 3 15)
",n359,1,2.001
"3 + 6 = 9 (left: 2 9 9)
",n360,1,0.003
"6 / 3 = 2 (left: 2 2 9)
",n361,1,1.002
"2 + 3 = 5 (left: 5 6 9)
5 + 6 = 11 (left: 9 11)
",n362,2,2.0
"2 + 3 = 5 (left: 5 6 9)
6 + 9 = 15 (left: 5 15)
",n363,2,1.002
"2 + 3 = 5 (left: 5 6 9)
5 - 6 = -1 (left: -1 9)
",n364,2,2.001
"2 + 3 = 5 (left: 5 6 9)
6 - 9 = -3 (left: -3 9)
",n365,2,3.0
"2 + 3 = 5 (left: 5 6 9)
5 * 6 = 30 (left: 9 30)
",n366,2,0.003
"2 + 3 = 5 (left: 5 6 9)
6 * 9 = 54 (left: 5 54)
",n367,2,2.0
"2 + 3 = 5 (left: 5 6 9)
5 / 6 = 0.8333 (left: 9 0.8333)
",n368,2,2.0
"2 + 3 = 5 (left: 5 6 9)
6 / 9 = 0.6667 (left: 5 0.6667)
",n369,2,3.0
"2 + 3 = 5 (left: 5 6 9)
9 + 5 = 14 (left: 6 14)
",n370,2,1.002
"2 + 3 = 5 (left: 5 6 9)
9 - 5 = 4 (left: 4 6)
",n371,2,3.0
"2 + 3 = 5 (left: 5 6 9)
6 + 5 = 11 (left: 9 11)
",n372,2,2.0
"2 + 3 = 5 (left: 5 6 9)
6 - 5 = 1 (left: 1 9)
",n373,2,21.001
"2 + 3 = 5 (left: 5 6 9)
9 * 5 = 45 (left: 6 45)
",n374,2,0.003
"2 + 3 = 5 (left: 5 6 9)
9 / 5 = 1.8 (left: 1 1.8)
",n375,2,2.001
"2 + 3 = 5 (left: 5 6 9)
5 + 9 = 14 (left: 6 14)
",n376,2,1.002
"2 + 3 = 5 (left: 5 6 9)
5 - 9 = -4 (left: -4 9)
",n377,2,2.0
"2 + 3 = 5 (left: 5 6 9)
9 + 6 = 15 (left: 5 15)
",n378,2,1.002
"2 + 3 = 5 (left: 5 6 9)
9 - 6 = 3 (left: 3 9)
",n379,2,1.001
"2 + 3 = 5 (left: 5 6 9)
6 * 5 = 30 (left: 9 30)
",n380,2,0.003
"2 + 3 = 5 (left: 5 6 9)
6 / 5 = 1.2 (left: 9 1.2)
",n381,2,21.0
"2 + 3 = 5 (left: 5 6 9)
9 / 6 = 1.5 (left: 5 1.5)
",n382,2,3.0
"3 * 6 = 18 (left: 2 6 18)
2 * 6 = 12 (left: 12 18)
",n383,2,0.003
"3 * 6 = 18 (left: 2 6 18)
6 * 2 = 12 (left: 12 18)
",n384,2,0.003
"3 * 6 = 18 (left: 2 6 18)
18 - 2 = 16 (left: 6 16)
",n385,2,0.003
"3 * 6 = 18 (left: 2 6 18)
2 * 18 = 36 (left: 6 36)
",n386,2,1.002
"3 * 6 = 18 (left: 2 6 18)
18 / 2 = 9 (left: 6 9)
",n387,2,2.001
"3 * 6 = 18 (left: 2 6 18)
18 / 6 = 3 (left: 2 3)
",n388,2,3.0
"3 * 6 = 18 (left: 2 6 18)
6 + 18 = 24 (left: 2 24)
",n389,2,1.001
"9 / 3 = 3 (left: 2 3 6)
2 + 3 = 5 (left: 5 6)
",n390,2,3.0
"9 / 3 = 3 (left: 2 3 6)
2 * 3 = 6 (left: 6 6)
",n391,2,3.0
"9 / 3 = 3 (left: 2 3 6)
3 * 2 = 6 (left: 6 6)
",n392,2,3.0
"9 / 3 = 3 (left: 2 3 6)
6 - 2 = 4 (left: 3 4)
",n393,2,3.0
"9 / 3 = 3 (left: 2 3 6)
6 / 2 = 3 (left: 3 6)
",n394,2,2.001
"9 / 3 = 3 (left: 2 3 6)
6 - 3 = 3 (left: 2 3)
",n395,2,3.0
"9 / 3 = 3 (left: 2 3 6)
6 / 3 = 2 (left: 2 6)
",n396,2,2.0
"2 + 3 = 5 (left: 5 6 9)
6 - 5 = 1 (left: 1 9)
1 + 9 = 10 (left: 9 10)
",n397,3,3.0
"2 + 3 = 5 (left: 5 6 9)
6 - 5 = 1 (left: 1 9)
1 * 9 = 9 (left: 9 9)
",n398,3,2.001
"2 + 3 = 5 (left: 5 6 9)
6 - 5 = 1 (left: 1 9)
9 - 1 = 8 (left: 8 9)
",n399,3,3.0
"2 + 3 = 5 (left: 5 6 9)
6 - 5 = 1 (left: 1 9)
9 / 1 = 9 (left: 1 9)
",n400,3,21.001
