Source,Target,last_formula,operator
null,2 3 6 9,,
2 3 6 9,"2 + 3 = 5 (left: 5 6 9)
",2 + 3 = 5 (left: 5 6 9),+
2 3 6 9,"3 * 6 = 18 (left: 2 6 18)
",3 * 6 = 18 (left: 2 6 18),*
2 3 6 9,"6 - 2 = 4 (left: 4 6 9)
",6 - 2 = 4 (left: 4 6 9),-
2 3 6 9,"9 - 6 = 3 (left: 2 3 9)
",9 - 6 = 3 (left: 2 3 9),-
2 3 6 9,"9 / 3 = 3 (left: 2 3 6)
",9 / 3 = 3 (left: 2 3 6),/
2 3 6 9,"2 * 3 = 6 (left: 6 6 9)
",2 * 3 = 6 (left: 6 6 9),*
2 3 6 9,"6 + 9 = 15 (left: 2 3 15)
",6 + 9 = 15 (left: 2 3 15),+
2 3 6 9,"3 + 6 = 9 (left: 2 9 9)
",3 + 6 = 9 (left: 2 9 9),+
2 3 6 9,"6 / 3 = 2 (left: 2 2 9)
",6 / 3 = 2 (left: 2 2 9),/
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
5 + 6 = 11 (left: 9 11)
",5 + 6 = 11 (left: 9 11),+
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
6 + 9 = 15 (left: 5 15)
",6 + 9 = 15 (left: 5 15),+
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
5 - 6 = -1 (left: -1 9)
",5 - 6 = -1 (left: -1 9),-
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
6 - 9 = -3 (left: -3 9)
",6 - 9 = -3 (left: -3 9),-
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
5 * 6 = 30 (left: 9 30)
",5 * 6 = 30 (left: 9 30),*
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
6 * 9 = 54 (left: 5 54)
",6 * 9 = 54 (left: 5 54),*
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
5 / 6 = 0.8333 (left: 9 0.8333)
",5 / 6 = 0.8333 (left: 9 0.8333),/
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
6 / 9 = 0.6667 (left: 5 0.6667)
",6 / 9 = 0.6667 (left: 5 0.6667),/
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
9 + 5 = 14 (left: 6 14)
",9 + 5 = 14 (left: 6 14),+
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
9 - 5 = 4 (left: 4 6)
",9 - 5 = 4 (left: 4 6),-
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
6 + 5 = 11 (left: 9 11)
",6 + 5 = 11 (left: 9 11),+
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
6 - 5 = 1 (left: 1 9)
",6 - 5 = 1 (left: 1 9),-
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
9 * 5 = 45 (left: 6 45)
",9 * 5 = 45 (left: 6 45),*
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
9 / 5 = 1.8 (left: 1 1.8)
",9 / 5 = 1.8 (left: 1 1.8),/
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
5 + 9 = 14 (left: 6 14)
",5 + 9 = 14 (left: 6 14),+
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
5 - 9 = -4 (left: -4 9)
",5 - 9 = -4 (left: -4 9),-
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
9 + 6 = 15 (left: 5 15)
",9 + 6 = 15 (left: 5 15),+
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
9 - 6 = 3 (left: 3 9)
",9 - 6 = 3 (left: 3 9),-
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
6 * 5 = 30 (left: 9 30)
",6 * 5 = 30 (left: 9 30),*
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
6 / 5 = 1.2 (left: 9 1.2)
",6 / 5 = 1.2 (left: 9 1.2),/
"2 + 3 = 5 (left: 5 6 9)
","2 + 3 = 5 (left: 5 6 9)
9 / 6 = 1.5 (left: 5 1.5)
",9 / 6 = 1.5 (left: 5 1.5),/
