Source,Target,last_formula,operator
null,1 11 11 13,,
1 11 11 13,"1 + 11 = 12 (left: 11 12 13)
",1 + 11 = 12 (left: 11 12 13),+
1 11 11 13,"11 / 1 = 11 (left: 11 11 13)
",11 / 1 = 11 (left: 11 11 13),/
1 11 11 13,"13 - 1 = 12 (left: 11 11 12)
",13 - 1 = 12 (left: 11 11 12),-
1 11 11 13,"1 * 11 = 11 (left: 11 11 13)
",1 * 11 = 11 (left: 11 11 13),*
1 11 11 13,"11 - 1 = 10 (left: 10 11 13)
",11 - 1 = 10 (left: 10 11 13),-
1 11 11 13,"13 - 11 = 2 (left: 1 2 11)
",13 - 11 = 2 (left: 1 2 11),-
1 11 11 13,"13 / 1 = 13 (left: 11 11 13)
",13 / 1 = 13 (left: 11 11 13),/
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
11 + 12 = 23 (left: 13 23)
",11 + 12 = 23 (left: 13 23),+
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
11 / 12 = 0.917 (left: 0.917 13)
",11 / 12 = 0.917 (left: 0.917 13),/
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
11 + 13 = 24 (left: 12 24)
",11 + 13 = 24 (left: 12 24),+
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
",11 * 12 = 132 (left: 13 132),*
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
12 - 11 = 1 (left: 1 13)
",12 - 11 = 1 (left: 1 13),-
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
13 - 11 = 2 (left: 2 13)
",13 - 11 = 2 (left: 2 13),-
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
13 / 11 = 1.182 (left: 1.182 13)
",13 / 11 = 1.182 (left: 1.182 13),/
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
13 - 12 = 1 (left: 1 13)
",13 - 12 = 1 (left: 1 13),-
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
Input: 5 5 5 5
",Input: 5 5 5 5,
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
Possible next steps:
",Possible next steps:,
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
5 + 5 = 10 (left: 5 10 5)
",5 + 5 = 10 (left: 5 10 5),+
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
5 / 5 = 1 (left: 1 5 5)
",5 / 5 = 1 (left: 1 5 5),/
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
5 + 5 = 10 (left: 5 5 10)
",5 + 5 = 10 (left: 5 5 10),+
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
5 * 5 = 25 (left: 5 5 25)
",5 * 5 = 25 (left: 5 5 25),*
"1 + 11 = 12 (left: 11 12 13)
","1 + 11 = 12 (left: 11 12 13)
5 - 5 = 0 (left: 0 5 5)
",5 - 5 = 0 (left: 0 5 5),-
"11 / 1 = 11 (left: 11 11 13)
","11 / 1 = 11 (left: 11 11 13)
11 + 11 = 22 (left: 13 22)
",11 + 11 = 22 (left: 13 22),+
"11 / 1 = 11 (left: 11 11 13)
","11 / 1 = 11 (left: 11 11 13)
11 / 11 = 1 (left: 1 13)
",11 / 11 = 1 (left: 1 13),/
"11 / 1 = 11 (left: 11 11 13)
","11 / 1 = 11 (left: 11 11 13)
13 + 11 = 24 (left: 11 24)
",13 + 11 = 24 (left: 11 24),+
"11 / 1 = 11 (left: 11 11 13)
","11 / 1 = 11 (left: 11 11 13)
11 * 11 = 121 (left: 13 121)
",11 * 11 = 121 (left: 13 121),*
"11 / 1 = 11 (left: 11 11 13)
","11 / 1 = 11 (left: 11 11 13)
11 - 11 = 0 (left: 0 13)
",11 - 11 = 0 (left: 0 13),-
"11 / 1 = 11 (left: 11 11 13)
","11 / 1 = 11 (left: 11 11 13)
13 - 11 = 2 (left: 2 11)
",13 - 11 = 2 (left: 2 11),-
"11 / 1 = 11 (left: 11 11 13)
","11 / 1 = 11 (left: 11 11 13)
13 / 11 = 1 (left: 1 13)
",13 / 11 = 1 (left: 1 13),/
"13 - 1 = 12 (left: 11 11 12)
","13 - 1 = 12 (left: 11 11 12)
11 + 11 = 22 (left: 12 22)
",11 + 11 = 22 (left: 12 22),+
"13 - 1 = 12 (left: 11 11 12)
","13 - 1 = 12 (left: 11 11 12)
11 / 11 = 1 (left: 1 12)
",11 / 11 = 1 (left: 1 12),/
"13 - 1 = 12 (left: 11 11 12)
","13 - 1 = 12 (left: 11 11 12)
12 + 11 = 23 (left: 11 23)
",12 + 11 = 23 (left: 11 23),+
"13 - 1 = 12 (left: 11 11 12)
","13 - 1 = 12 (left: 11 11 12)
11 * 11 = 121 (left: 12 121)
",11 * 11 = 121 (left: 12 121),*
"13 - 1 = 12 (left: 11 11 12)
","13 - 1 = 12 (left: 11 11 12)
11 - 11 = 0 (left: 0 12)
",11 - 11 = 0 (left: 0 12),-
"13 - 1 = 12 (left: 11 11 12)
","13 - 1 = 12 (left: 11 11 12)
12 - 11 = 1 (left: 1 12)
",12 - 11 = 1 (left: 1 12),-
"13 - 1 = 12 (left: 11 11 12)
","13 - 1 = 12 (left: 11 11 12)
12 / 11 = 1 (left: 1 12)
",12 / 11 = 1 (left: 1 12),/
"13 - 1 = 12 (left: 11 11 12)
","13 - 1 = 12 (left: 11 11 12)
12 - 1 = 11 (left: 11 12)
",12 - 1 = 11 (left: 11 12),-
"1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
13 + 132 = 145 (left: 132 145)
",13 + 132 = 145 (left: 132 145),+
"1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
13 * 132 = 1716 (left: 132 1716)
",13 * 132 = 1716 (left: 132 1716),*
"1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
132 / 13 = 10 (left: 10 132)
",132 / 13 = 10 (left: 10 132),/
"1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
132 - 13 = 119 (left: 13 119)
",132 - 13 = 119 (left: 13 119),-
"1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
13 / 132 = 0.0985 (left: 0.0985 132)
",13 / 132 = 0.0985 (left: 0.0985 132),/
"1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
132 - 132 = 0 (left: 13 0)
",132 - 132 = 0 (left: 13 0),-
"1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
132 + 13 = 145 (left: 13 145)
",132 + 13 = 145 (left: 13 145),+
"1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
13 * 13 = 169 (left: 132 169)
",13 * 13 = 169 (left: 132 169),*
"11 / 1 = 11 (left: 11 11 13)
13 - 11 = 2 (left: 2 11)
","11 / 1 = 11 (left: 11 11 13)
13 - 11 = 2 (left: 2 11)
2 + 11 = 13 (left: 13)
",2 + 11 = 13 (left: 13),+
"11 / 1 = 11 (left: 11 11 13)
13 - 11 = 2 (left: 2 11)
","11 / 1 = 11 (left: 11 11 13)
13 - 11 = 2 (left: 2 11)
2 * 11 = 22 (left: 22)
",2 * 11 = 22 (left: 22),*
"11 / 1 = 11 (left: 11 11 13)
13 - 11 = 2 (left: 2 11)
","11 / 1 = 11 (left: 11 11 13)
13 - 11 = 2 (left: 2 11)
11 - 2 = 9 (left: 9)
",11 - 2 = 9 (left: 9),-
"11 / 1 = 11 (left: 11 11 13)
13 - 11 = 2 (left: 2 11)
","11 / 1 = 11 (left: 11 11 13)
13 - 11 = 2 (left: 2 11)
11 / 2 = 5.5 (left: 5.5)
",11 / 2 = 5.5 (left: 5.5),/
"1 + 11 = 12 (left: 11 12 13)
11 / 12 = 0.917 (left: 0.917 13)
","1 + 11 = 12 (left: 11 12 13)
11 / 12 = 0.917 (left: 0.917 13)
0.917 + 13 = 13.917 (left: 13.917)
",0.917 + 13 = 13.917 (left: 13.917),+
"1 + 11 = 12 (left: 11 12 13)
11 / 12 = 0.917 (left: 0.917 13)
","1 + 11 = 12 (left: 11 12 13)
11 / 12 = 0.917 (left: 0.917 13)
13 - 0.917 = 12.083 (left: 12.083)
",13 - 0.917 = 12.083 (left: 12.083),-
"1 + 11 = 12 (left: 11 12 13)
11 / 12 = 0.917 (left: 0.917 13)
","1 + 11 = 12 (left: 11 12 13)
11 / 12 = 0.917 (left: 0.917 13)
0.917 * 13 = 11.921 (left: 11.921)
",0.917 * 13 = 11.921 (left: 11.921),*
"1 + 11 = 12 (left: 11 12 13)
11 / 12 = 0.917 (left: 0.917 13)
","1 + 11 = 12 (left: 11 12 13)
11 / 12 = 0.917 (left: 0.917 13)
13 / 0.917 = 14.181 (left: 14.181)
",13 / 0.917 = 14.181 (left: 14.181),/
"1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
132 - 13 = 119 (left: 13 119)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
132 - 13 = 119 (left: 13 119)
13 + 119 = 132 (left: 132)
",13 + 119 = 132 (left: 132),+
"1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
132 - 13 = 119 (left: 13 119)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
132 - 13 = 119 (left: 13 119)
119 - 13 = 106 (left: 106)
",119 - 13 = 106 (left: 106),-
"1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
132 - 13 = 119 (left: 13 119)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
132 - 13 = 119 (left: 13 119)
13 * 119 = 1547 (left: 1547)
",13 * 119 = 1547 (left: 1547),*
"1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
132 - 13 = 119 (left: 13 119)
","1 + 11 = 12 (left: 11 12 13)
11 * 12 = 132 (left: 13 132)
132 - 13 = 119 (left: 13 119)
119 / 13 = 9 (left: 9)
",119 / 13 = 9 (left: 9),/
